%  columns="iteration, evaluation, void, void, void, xmean" (startseed=210181, 2015/04/17 16:48:1.82)
0 1 0 0 0 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 
1 9 0 0 0 3.485261e-01 5.410506e-01 5.098301e-01 9.234749e-01 
2 17 0 0 0 3.614024e-01 2.544892e-01 5.806675e-01 1.193849e+00 
3 25 0 0 0 4.897078e-01 4.115760e-01 6.311357e-01 1.018359e+00 
4 33 0 0 0 3.343132e-01 2.414589e-01 4.008990e-01 5.027377e-01 
5 41 0 0 0 4.134694e-01 3.699600e-01 5.246722e-01 5.658188e-01 
6 49 0 0 0 1.634266e-01 1.424067e-01 3.573033e-01 4.275116e-01 
7 57 0 0 0 2.142110e-01 1.054653e-01 4.198970e-01 5.509998e-01 
