%  columns="iteration, evaluation, void, void, void, xmean" (startseed=216231, 2015/04/17 14:56:56.31)
0 1 0 0 0 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 
1 9 0 0 0 5.643223e-01 3.470117e-01 9.445928e-01 3.381650e-01 
2 17 0 0 0 3.859375e-01 5.227194e-01 1.028877e+00 4.553330e-01 
