%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=215114, 2015/04/23 19:36:54.15)
1 9 1.529688e+00 0 0 1.457072e+00 1.566230e+00 1.524616e+00 1.570796e+00 
2 17 1.308414e+00 0 0 1.182504e+00 1.281616e+00 1.232093e+00 1.283070e+00 
3 25 1.096672e+00 0 0 9.506228e-01 1.028618e+00 9.745845e-01 1.013667e+00 
4 33 1.055358e+00 0 0 9.369198e-01 9.744670e-01 9.141116e-01 9.443232e-01 
5 41 9.529191e-01 0 0 8.069772e-01 8.417705e-01 8.107790e-01 8.086084e-01 
6 49 7.617793e-01 0 0 6.175055e-01 6.535448e-01 6.365799e-01 6.176753e-01 
7 57 6.445993e-01 0 0 5.044521e-01 5.282639e-01 5.119865e-01 5.017704e-01 
8 65 5.522631e-01 0 0 4.129894e-01 4.393394e-01 4.205676e-01 4.376578e-01 
9 73 5.091152e-01 0 0 3.622196e-01 3.978739e-01 3.708888e-01 4.121230e-01 
10 81 5.021874e-01 0 0 3.397121e-01 3.786123e-01 4.010057e-01 3.864442e-01 
