%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=215114, 2015/04/23 19:36:54.15)
1 9 -1.303546970721890519e-11 0 0 -2.280777e+00 -8.063854e-01 -4.157809e+00 -1.673990e+00 
2 17 -2.074222918110568111e-11 0 0 -2.218456e+00 -1.487222e+00 -3.482191e+00 -8.851918e-01 
3 25 -1.688530508960734163e-11 0 0 -2.331047e+00 -1.957747e+00 -3.489713e+00 -1.130802e+00 
4 33 -8.288666629725907136e-12 0 0 -1.081626e+00 -2.125035e+00 -4.868497e+00 -8.140920e-01 
5 41 -1.499262544634203598e-11 0 0 -1.855686e+00 -2.535124e+00 -4.945498e+00 -8.741853e-01 
6 49 -1.742187973972282124e-11 0 0 -2.696563e+00 -1.594445e+00 -5.993212e+00 -8.650429e-01 
7 57 -1.642801233599482060e-11 0 0 -2.083247e+00 -1.658603e+00 -4.686833e+00 -1.188118e+00 
8 65 -1.370744850295648817e-11 0 0 -2.054713e+00 -1.356885e+00 -4.979250e+00 -1.797462e+00 
9 73 -1.779421314052532278e-11 0 0 -1.728971e+00 -1.509645e+00 -4.962414e+00 -9.322782e-01 
10 81 -3.189850232545878956e-11 0 0 -1.648268e+00 -2.206162e+00 -4.001609e+00 -1.044509e+00 
