%  columns="iteration, evaluation, void, void, void, xmean" (startseed=215114, 2015/04/23 19:36:54.15)
0 1 0 0 0 -1.365594e+00 -3.141593e+00 -3.141593e+00 -2.633458e+00 
1 9 0 0 0 -1.831738e+00 -1.949507e+00 -4.252108e+00 -1.248788e+00 
2 17 0 0 0 -1.829849e+00 -1.832168e+00 -3.802462e+00 -1.228103e+00 
3 25 0 0 0 -2.216423e+00 -1.569426e+00 -3.764920e+00 -1.388138e+00 
4 33 0 0 0 -1.211462e+00 -2.368665e+00 -4.140425e+00 -9.530019e-01 
5 41 0 0 0 -1.771146e+00 -2.541341e+00 -4.585272e+00 -1.237816e+00 
6 49 0 0 0 -1.707925e+00 -2.053403e+00 -4.431769e+00 -1.347033e+00 
7 57 0 0 0 -1.936892e+00 -1.965615e+00 -4.555486e+00 -1.517557e+00 
8 65 0 0 0 -1.928228e+00 -1.866219e+00 -4.686618e+00 -1.152340e+00 
9 73 0 0 0 -1.821795e+00 -1.791574e+00 -4.674424e+00 -8.546334e-01 
10 81 0 0 0 -1.836355e+00 -1.852517e+00 -4.165584e+00 -1.023273e+00 
