%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=209360, 2015/04/14 20:12:28.61)
1 9 1.448527e+00 0 0 1.370417e+00 1.381170e+00 1.570796e+00 1.379331e+00 
2 17 1.284220e+00 0 0 1.160008e+00 1.183443e+00 1.340881e+00 1.183507e+00 
3 25 1.215226e+00 0 0 1.122783e+00 1.114049e+00 1.214343e+00 1.105267e+00 
4 33 1.368616e+00 0 0 1.205430e+00 1.446393e+00 1.308332e+00 1.274014e+00 
5 41 1.262408e+00 0 0 1.111518e+00 1.294648e+00 1.152651e+00 1.133030e+00 
6 49 1.124571e+00 0 0 9.385506e-01 1.160623e+00 9.856854e-01 9.518286e-01 
7 57 1.039319e+00 0 0 8.263062e-01 1.028455e+00 8.812191e-01 8.685041e-01 
8 65 1.047454e+00 0 0 7.910867e-01 9.929481e-01 8.892419e-01 8.895871e-01 
9 73 1.043812e+00 0 0 7.772232e-01 9.378187e-01 9.253262e-01 8.566679e-01 
10 81 1.005435e+00 0 0 7.377114e-01 8.687068e-01 8.575596e-01 8.476531e-01 
11 89 9.161354e-01 0 0 6.616517e-01 7.524812e-01 7.386991e-01 7.792469e-01 
