%  columns="iteration, evaluation, void, void, void, xmean" (startseed=209360, 2015/04/14 20:12:28.61)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -2.289615e+00 -1.790027e+00 1.181152e+00 -1.170629e+00 
2 17 0 0 0 -2.663040e+00 -1.382338e+00 9.316609e-01 -5.789357e-01 
3 25 0 0 0 -3.455977e+00 -2.370471e+00 2.526499e-01 -3.681210e-01 
4 33 0 0 0 -3.414201e+00 -3.824725e+00 1.910867e-02 4.466705e-01 
5 41 0 0 0 -4.005661e+00 -3.640854e+00 6.596030e-02 2.907201e-01 
6 49 0 0 0 -3.609996e+00 -4.240016e+00 1.120913e-01 2.370818e-01 
7 57 0 0 0 -3.277974e+00 -4.065287e+00 6.317002e-01 7.924500e-01 
8 65 0 0 0 -3.249013e+00 -4.357562e+00 1.163405e+00 1.330476e+00 
9 73 0 0 0 -3.744641e+00 -4.143242e+00 1.784870e+00 8.132757e-01 
10 81 0 0 0 -4.110114e+00 -4.249698e+00 1.440594e+00 1.659734e+00 
11 89 0 0 0 -4.358508e+00 -4.036866e+00 1.495472e+00 8.547779e-01 
