%  columns="iteration, evaluation, void, void, void, xmean" (startseed=213718, 2015/04/14 21:34:49.19)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -2.076339e-02 -3.287855e+00 6.574933e-02 4.375696e-01 
2 17 0 0 0 -3.146864e-01 -3.626467e+00 4.282995e-01 4.530335e-01 
3 25 0 0 0 3.975341e-01 -3.579139e+00 2.203474e+00 8.814013e-01 
4 33 0 0 0 1.446666e+00 -3.369908e+00 3.220755e+00 2.358424e+00 
5 41 0 0 0 6.396993e-01 -3.540747e+00 2.288963e+00 1.431393e+00 
6 49 0 0 0 1.606107e+00 -3.698626e+00 1.148232e+00 1.800596e+00 
7 57 0 0 0 1.201187e+00 -3.065528e+00 5.856303e-01 1.607428e+00 
8 65 0 0 0 1.277593e+00 -2.738395e+00 3.605711e-01 1.192618e+00 
9 73 0 0 0 1.244562e+00 -2.471498e+00 1.927719e-01 3.416284e-01 
10 81 0 0 0 2.160173e+00 -3.047277e+00 6.391230e-01 8.283898e-01 
11 89 0 0 0 2.366010e+00 -2.970929e+00 1.096855e+00 1.692374e+00 
12 97 0 0 0 2.113592e+00 -3.020023e+00 1.106172e+00 1.000370e+00 
13 105 0 0 0 1.919698e+00 -3.168132e+00 4.666357e-01 6.989142e-01 
14 113 0 0 0 1.193847e+00 -2.531099e+00 4.257710e-01 6.893336e-01 
15 121 0 0 0 7.783001e-01 -2.825511e+00 3.058240e-01 3.235699e-01 
16 129 0 0 0 1.056447e+00 -2.625096e+00 2.911991e-01 6.910356e-01 
17 137 0 0 0 1.365355e+00 -2.531171e+00 3.581911e-01 7.003609e-01 
18 145 0 0 0 1.092055e+00 -2.310185e+00 1.118467e-01 3.478722e-01 
