%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213718, 2015/04/14 21:34:49.19)
1 9 -1.000000000000000000e+04 0 0 1.613226e+00 -4.592627e+00 7.422781e-01 1.727872e+00 
2 17 -1.000000000000000000e+04 0 0 6.291054e-01 -4.700214e+00 6.613476e-01 1.459876e+00 
3 25 -1.000000000000000000e+04 0 0 2.654738e-01 -4.620692e+00 2.478223e+00 8.099552e-01 
4 33 -1.000000000000000000e+04 0 0 1.737959e+00 -2.881302e+00 3.144049e+00 2.071611e+00 
5 41 -1.000000000000000000e+04 0 0 9.033717e-01 -4.979208e+00 4.078219e+00 3.205667e+00 
6 49 -1.000000000000000000e+04 0 0 1.799327e+00 -3.670908e+00 5.526740e-01 1.371700e+00 
7 57 -1.000000000000000000e+04 0 0 1.190644e+00 -3.610972e+00 3.426574e-02 1.839810e+00 
8 65 -1.000000000000000000e+04 0 0 1.290774e+00 -4.752544e+00 1.187432e+00 2.331659e+00 
9 73 -1.000000000000000000e+04 0 0 5.932452e-01 -3.620300e+00 1.123925e+00 1.224212e+00 
10 81 -1.000000000000000000e+04 0 0 2.720278e+00 -2.457983e+00 1.544122e+00 1.365288e+00 
11 89 -1.000000000000000000e+04 0 0 2.040934e+00 -2.890835e+00 1.055351e+00 2.166510e+00 
12 97 -1.000000000000000000e+04 0 0 2.473907e+00 -2.970911e+00 1.496192e+00 1.576534e+00 
13 105 -1.000000000000000000e+04 0 0 2.632872e+00 -2.229362e+00 1.573581e+00 1.028303e+00 
14 113 -1.000000000000000000e+04 0 0 1.391908e+00 -3.062317e+00 2.428028e-01 1.260281e+00 
15 121 -1.000000000000000000e+04 0 0 2.139136e+00 -2.483624e+00 6.780783e-01 5.646439e-01 
16 129 -1.000000000000000000e+04 0 0 1.330508e+00 -2.516278e+00 7.843733e-02 1.215603e+00 
17 137 -1.000000000000000000e+04 0 0 1.436778e+00 -2.327556e+00 7.934866e-02 2.882311e-01 
18 145 -1.000000000000000000e+04 0 0 1.790155e+00 -2.257538e+00 3.258844e-01 7.931404e-01 
