%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=213718, 2015/04/14 21:34:49.19)
1 9 1.400625e+00 0 0 1.570796e+00 1.400206e+00 1.365166e+00 1.476650e+00 
2 17 1.297402e+00 0 0 1.406347e+00 1.275018e+00 1.220066e+00 1.328726e+00 
3 25 1.383979e+00 0 0 1.480693e+00 1.312559e+00 1.570796e+00 1.374568e+00 
4 33 1.290677e+00 0 0 1.432445e+00 1.167122e+00 1.570796e+00 1.395177e+00 
5 41 1.007700e+00 0 0 1.064618e+00 8.674737e-01 1.178498e+00 1.045566e+00 
6 49 1.115397e+00 0 0 1.196477e+00 9.096423e-01 1.343611e+00 1.107167e+00 
7 57 1.084591e+00 0 0 1.102575e+00 8.733864e-01 1.302747e+00 1.014763e+00 
8 65 1.009431e+00 0 0 9.702899e-01 7.970834e-01 1.174918e+00 9.073765e-01 
9 73 1.027384e+00 0 0 9.351810e-01 8.116870e-01 1.156086e+00 9.762486e-01 
10 81 9.920312e-01 0 0 9.368828e-01 7.658166e-01 1.066625e+00 9.025457e-01 
11 89 9.210065e-01 0 0 8.502666e-01 6.931017e-01 9.580716e-01 8.618035e-01 
12 97 7.749236e-01 0 0 6.780233e-01 5.572164e-01 7.624271e-01 7.006321e-01 
13 105 7.013678e-01 0 0 5.831061e-01 5.139013e-01 6.907163e-01 6.177463e-01 
14 113 7.469613e-01 0 0 6.862568e-01 5.847327e-01 7.031760e-01 6.305536e-01 
15 121 7.618387e-01 0 0 7.347004e-01 5.673654e-01 6.857864e-01 6.362499e-01 
16 129 6.417318e-01 0 0 5.946144e-01 4.556277e-01 5.494686e-01 5.247755e-01 
17 137 5.416179e-01 0 0 4.830732e-01 3.702708e-01 4.402441e-01 4.256986e-01 
18 145 5.052426e-01 0 0 4.405818e-01 3.445671e-01 3.983737e-01 3.982520e-01 
