%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211121, 2015/04/14 9:11:58.21)
58 465 -1.106864689756755382e+02 0 0 4.167977e-01 1.409770e-01 6.896669e-02 2.212624e-01 
59 473 -1.135661345617517526e+02 0 0 3.371167e-01 1.904609e-01 -9.454677e-03 1.781714e-01 
60 481 -1.058695006346511605e+02 0 0 3.355825e-01 9.889059e-02 -6.923643e-02 7.329295e-02 
61 489 -1.166303137938504335e+02 0 0 4.698106e-01 1.548512e-01 1.111499e-01 2.505224e-01 
62 497 -1.061560002461158660e+02 0 0 3.904251e-01 2.770871e-01 2.378031e-01 2.386245e-01 
63 505 -1.122304881268826762e+02 0 0 4.906926e-01 2.126007e-01 2.121065e-01 2.729754e-01 
64 513 -1.076254174897407694e+02 0 0 4.341277e-01 1.019589e-01 9.854288e-02 2.616034e-01 
65 521 -1.059440702154397513e+02 0 0 5.175800e-01 1.913293e-01 2.932979e-01 4.962476e-01 
66 529 -1.071189911922061384e+02 0 0 4.656642e-01 2.126125e-01 1.691414e-01 3.028549e-01 
67 537 -1.090911894756478659e+02 0 0 4.584017e-01 2.964308e-01 2.168341e-01 3.049980e-01 
68 545 -1.157072783193645904e+02 0 0 3.888699e-01 2.303287e-01 1.182548e-01 2.415634e-01 
69 553 -1.040213112699337756e+02 0 0 3.079218e-01 2.642895e-01 7.777911e-02 2.268882e-01 
70 561 -1.040072662053338632e+02 0 0 3.912782e-01 2.618160e-01 1.760672e-01 2.056623e-01 
71 569 -1.210948473504736995e+02 0 0 3.746842e-01 2.506685e-01 1.344274e-01 2.462612e-01 
72 577 -1.080333155724947574e+02 0 0 3.363736e-01 3.404848e-01 2.128036e-01 2.311611e-01 
73 585 -1.089176753960247481e+02 0 0 3.709210e-01 2.758582e-01 2.151393e-01 2.448628e-01 
74 593 -1.074687830305200293e+02 0 0 4.131977e-01 3.478232e-01 3.039816e-01 2.417198e-01 
75 601 -1.085950825492381000e+02 0 0 3.617016e-01 3.333850e-01 2.681771e-01 1.886069e-01 
76 609 -1.186069899108111088e+02 0 0 3.559885e-01 3.272793e-01 2.636369e-01 1.606563e-01 
77 617 -1.038862440053144383e+02 0 0 4.203109e-01 3.471920e-01 3.559758e-01 2.450454e-01 
78 625 -1.125442093481627666e+02 0 0 4.259039e-01 2.417209e-01 3.202644e-01 2.564485e-01 
79 633 -1.166228182433379601e+02 0 0 4.243770e-01 3.104096e-01 3.523126e-01 3.280000e-01 
80 641 -1.032306717461681700e+02 0 0 3.774322e-01 3.575761e-01 3.017453e-01 2.270093e-01 
81 649 -1.281791611183656983e+02 0 0 3.802659e-01 3.575081e-01 3.299981e-01 2.546222e-01 
82 657 -1.029760212801816124e+02 0 0 3.980887e-01 3.434484e-01 3.343782e-01 2.819534e-01 
83 665 -1.102990376201074554e+02 0 0 3.863046e-01 2.872147e-01 2.666799e-01 2.765825e-01 
84 673 -1.100250084070586496e+02 0 0 3.749562e-01 3.359603e-01 3.051133e-01 2.710847e-01 
85 681 -1.185961501011509256e+02 0 0 3.880225e-01 3.392446e-01 3.350839e-01 2.649637e-01 
86 689 -1.102690825498629295e+02 0 0 3.853892e-01 3.430758e-01 3.239331e-01 2.608723e-01 
87 697 -1.043170335562726336e+02 0 0 3.761473e-01 3.666606e-01 3.272168e-01 2.656252e-01 
88 705 -1.081452568206955647e+02 0 0 3.860463e-01 3.474649e-01 3.219103e-01 2.775460e-01 
89 713 -1.224143674286619188e+02 0 0 3.785555e-01 3.566636e-01 3.285943e-01 2.641177e-01 
90 721 -1.030174283126172554e+02 0 0 3.943370e-01 3.460352e-01 3.234605e-01 2.806917e-01 
91 729 -1.090933712366579869e+02 0 0 4.169281e-01 3.492836e-01 3.597271e-01 3.038534e-01 
92 737 -1.036359089318345781e+02 0 0 4.062929e-01 3.351607e-01 3.389919e-01 2.806641e-01 
93 745 -1.086123545215453845e+02 0 0 4.095837e-01 3.348511e-01 3.345106e-01 2.916367e-01 
94 753 -1.157184786305059987e+02 0 0 4.097401e-01 3.304824e-01 3.403640e-01 2.840787e-01 
95 761 -1.134288353054480609e+02 0 0 4.180893e-01 3.069407e-01 3.224631e-01 2.911112e-01 
96 769 -1.140112579469231093e+02 0 0 3.885457e-01 3.497392e-01 3.385507e-01 2.687849e-01 
97 777 -1.026990401321152717e+02 0 0 3.967134e-01 3.268061e-01 3.299351e-01 2.777624e-01 
98 785 -1.063950298903705658e+02 0 0 4.065812e-01 3.136802e-01 3.187027e-01 2.826085e-01 
99 793 -1.192119329416184712e+02 0 0 3.989221e-01 3.210732e-01 3.182546e-01 2.625045e-01 
100 801 -1.122699869717432648e+02 0 0 4.000849e-01 3.249120e-01 3.185122e-01 2.624238e-01 
101 809 -1.061635822307491992e+02 0 0 3.977713e-01 3.363375e-01 3.385124e-01 2.754276e-01 
102 817 -1.164958420875212397e+02 0 0 4.012265e-01 3.320990e-01 3.324722e-01 2.753301e-01 
103 825 -1.164765131968080709e+02 0 0 3.964608e-01 3.251005e-01 3.278674e-01 2.665124e-01 
104 833 -1.130075750933843750e+02 0 0 3.957052e-01 3.237324e-01 3.192343e-01 2.652637e-01 
105 841 -1.159890037107833365e+02 0 0 3.923280e-01 3.294822e-01 3.168090e-01 2.558170e-01 
