%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=211121, 2015/04/14 9:11:58.21)
64 513 1.401183e-01 0 0 6.064661e-02 8.220501e-02 8.575177e-02 6.135294e-02 
65 521 1.476459e-01 0 0 6.217729e-02 8.536948e-02 8.906343e-02 7.537045e-02 
66 529 1.424043e-01 0 0 5.688656e-02 7.898044e-02 9.250127e-02 7.202345e-02 
67 537 1.459520e-01 0 0 5.589426e-02 8.050057e-02 9.216190e-02 7.008619e-02 
68 545 1.314630e-01 0 0 5.089905e-02 6.922346e-02 8.044274e-02 6.180891e-02 
69 553 1.231135e-01 0 0 4.972346e-02 6.335266e-02 7.490988e-02 5.875048e-02 
70 561 9.660954e-02 0 0 3.712971e-02 4.690245e-02 5.591063e-02 4.576951e-02 
71 569 8.498364e-02 0 0 3.139093e-02 3.973408e-02 4.820310e-02 3.916213e-02 
72 577 9.793286e-02 0 0 3.876551e-02 5.206276e-02 5.650131e-02 4.481621e-02 
73 585 1.019717e-01 0 0 3.931737e-02 5.375068e-02 6.124700e-02 4.511147e-02 
74 593 1.121966e-01 0 0 4.442095e-02 5.764355e-02 7.008213e-02 4.774901e-02 
75 601 1.232544e-01 0 0 4.716739e-02 6.166441e-02 7.365147e-02 5.683403e-02 
76 609 1.249923e-01 0 0 4.557782e-02 5.956154e-02 7.095492e-02 5.672402e-02 
77 617 1.114877e-01 0 0 4.057197e-02 5.180736e-02 6.278439e-02 5.068515e-02 
78 625 1.101099e-01 0 0 3.970066e-02 4.969256e-02 6.149780e-02 5.089821e-02 
79 633 9.716974e-02 0 0 3.419910e-02 4.210932e-02 5.192369e-02 4.467309e-02 
80 641 8.859555e-02 0 0 3.156068e-02 3.969670e-02 4.462206e-02 4.106094e-02 
81 649 9.110031e-02 0 0 3.568153e-02 4.156483e-02 4.935162e-02 4.200736e-02 
82 657 7.866069e-02 0 0 2.928787e-02 3.448004e-02 4.130323e-02 3.434946e-02 
83 665 6.868185e-02 0 0 2.441117e-02 2.894431e-02 3.430624e-02 2.823921e-02 
84 673 5.937781e-02 0 0 2.030765e-02 2.447109e-02 2.931279e-02 2.315016e-02 
85 681 5.949522e-02 0 0 1.949561e-02 2.357865e-02 2.956263e-02 2.264979e-02 
86 689 5.155992e-02 0 0 1.594256e-02 1.967434e-02 2.486447e-02 1.859122e-02 
87 697 4.623376e-02 0 0 1.400797e-02 1.758403e-02 2.231721e-02 1.650661e-02 
88 705 4.255846e-02 0 0 1.226215e-02 1.611013e-02 1.996068e-02 1.445895e-02 
89 713 3.759059e-02 0 0 1.061979e-02 1.354719e-02 1.702701e-02 1.314443e-02 
90 721 3.456420e-02 0 0 9.280843e-03 1.192542e-02 1.555917e-02 1.147445e-02 
91 729 3.799090e-02 0 0 1.197891e-02 1.255641e-02 1.715095e-02 1.321903e-02 
92 737 3.739345e-02 0 0 1.188946e-02 1.235086e-02 1.614329e-02 1.344797e-02 
93 745 3.264643e-02 0 0 9.957195e-03 1.046100e-02 1.342062e-02 1.116067e-02 
94 753 3.233462e-02 0 0 9.448115e-03 1.089529e-02 1.282695e-02 1.076226e-02 
95 761 3.543688e-02 0 0 1.005098e-02 1.371358e-02 1.437049e-02 1.119872e-02 
96 769 3.741620e-02 0 0 1.174464e-02 1.564234e-02 1.467944e-02 1.307244e-02 
97 777 3.691467e-02 0 0 1.125933e-02 1.478538e-02 1.375475e-02 1.231707e-02 
98 785 3.231319e-02 0 0 9.385245e-03 1.257536e-02 1.201121e-02 1.039882e-02 
99 793 3.334663e-02 0 0 9.300314e-03 1.255330e-02 1.201206e-02 1.119126e-02 
100 801 3.318828e-02 0 0 9.131308e-03 1.235459e-02 1.142441e-02 1.109821e-02 
101 809 3.111321e-02 0 0 8.231390e-03 1.100176e-02 1.081370e-02 1.116169e-02 
102 817 2.709675e-02 0 0 6.939412e-03 9.086513e-03 9.124807e-03 9.320413e-03 
103 825 2.877815e-02 0 0 7.046148e-03 9.208249e-03 9.396168e-03 9.818254e-03 
104 833 3.032627e-02 0 0 7.324509e-03 9.682247e-03 1.145974e-02 1.023425e-02 
105 841 2.999128e-02 0 0 7.638033e-03 9.180996e-03 1.110992e-02 1.036748e-02 
