%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=211121, 2015/04/14 9:11:58.21)
1 9 4.269039e-01 1.002248e+00 9.413617e-01 9.413617e-01 9.456168e-01 9.646166e-01 1.002248e+00 
2 17 4.530856e-01 1.111937e+00 8.897154e-01 8.897154e-01 9.251491e-01 9.536226e-01 1.111937e+00 
3 25 4.293872e-01 1.204073e+00 8.542186e-01 8.542186e-01 9.006849e-01 1.067339e+00 1.204073e+00 
4 33 3.723417e-01 1.468394e+00 8.556111e-01 8.556111e-01 8.802810e-01 1.039068e+00 1.468394e+00 
5 41 3.726280e-01 1.465196e+00 8.314453e-01 8.314453e-01 8.411749e-01 9.988253e-01 1.465196e+00 
6 49 3.592847e-01 1.449375e+00 7.871410e-01 7.871410e-01 8.603305e-01 9.431936e-01 1.449375e+00 
7 57 3.192734e-01 1.366274e+00 7.563184e-01 7.563184e-01 8.341290e-01 9.068715e-01 1.366274e+00 
8 65 2.460430e-01 1.308999e+00 7.201700e-01 7.201700e-01 8.006218e-01 8.542745e-01 1.308999e+00 
9 73 2.516381e-01 1.314089e+00 6.854094e-01 6.854094e-01 7.797374e-01 9.012370e-01 1.314089e+00 
10 81 2.660330e-01 1.244034e+00 6.676019e-01 6.676019e-01 7.942606e-01 1.011774e+00 1.244034e+00 
11 89 2.478223e-01 1.178224e+00 6.447250e-01 6.447250e-01 7.551961e-01 1.011771e+00 1.178224e+00 
12 97 2.383252e-01 1.138259e+00 6.395654e-01 6.395654e-01 7.699352e-01 9.671741e-01 1.138259e+00 
13 105 1.988276e-01 1.071795e+00 6.079610e-01 6.079610e-01 7.273017e-01 9.251027e-01 1.071795e+00 
14 113 1.882339e-01 1.088324e+00 5.855140e-01 5.855140e-01 6.944527e-01 8.977901e-01 1.088324e+00 
15 121 1.578613e-01 1.093286e+00 5.524890e-01 5.524890e-01 6.707769e-01 8.631811e-01 1.093286e+00 
16 129 1.448375e-01 1.042161e+00 5.587347e-01 5.587347e-01 6.445400e-01 8.769850e-01 1.042161e+00 
17 137 1.491141e-01 1.150110e+00 5.321149e-01 5.321149e-01 6.129094e-01 8.785386e-01 1.150110e+00 
18 145 1.353453e-01 1.151238e+00 5.340151e-01 5.340151e-01 5.849755e-01 8.432160e-01 1.151238e+00 
19 153 1.323273e-01 1.110538e+00 5.179109e-01 5.179109e-01 6.045320e-01 7.970155e-01 1.110538e+00 
20 161 1.565626e-01 1.284025e+00 4.943273e-01 4.943273e-01 6.283980e-01 8.206969e-01 1.284025e+00 
21 169 1.530685e-01 1.357824e+00 4.816552e-01 4.816552e-01 6.121321e-01 8.610376e-01 1.357824e+00 
22 177 1.396592e-01 1.289397e+00 4.608130e-01 4.608130e-01 5.916302e-01 8.589368e-01 1.289397e+00 
23 185 1.085998e-01 1.218894e+00 4.373906e-01 4.373906e-01 5.763868e-01 8.167688e-01 1.218894e+00 
24 193 9.331737e-02 1.245102e+00 4.351008e-01 4.351008e-01 5.599566e-01 7.912208e-01 1.245102e+00 
25 201 8.844082e-02 1.214070e+00 4.165486e-01 4.165486e-01 5.588898e-01 7.607649e-01 1.214070e+00 
26 209 8.684833e-02 1.224675e+00 3.986635e-01 3.986635e-01 5.476373e-01 8.466305e-01 1.224675e+00 
27 217 8.660056e-02 1.173462e+00 4.021894e-01 4.021894e-01 5.240640e-01 8.371817e-01 1.173462e+00 
28 225 8.037884e-02 1.140020e+00 3.839136e-01 3.839136e-01 5.289817e-01 8.404029e-01 1.140020e+00 
29 233 1.011569e-01 1.156767e+00 4.876671e-01 4.876671e-01 5.183239e-01 8.095281e-01 1.156767e+00 
30 241 1.296372e-01 1.332184e+00 4.728792e-01 4.728792e-01 5.164379e-01 7.725819e-01 1.332184e+00 
31 249 1.340069e-01 1.304515e+00 4.716142e-01 4.716142e-01 5.389661e-01 7.578109e-01 1.304515e+00 
32 257 1.262968e-01 1.246656e+00 4.468645e-01 4.468645e-01 5.133189e-01 7.841239e-01 1.246656e+00 
33 265 1.625244e-01 1.177699e+00 4.277246e-01 4.277246e-01 5.895361e-01 8.969458e-01 1.177699e+00 
34 273 2.133528e-01 1.149311e+00 4.481026e-01 4.481026e-01 5.928267e-01 9.379873e-01 1.149311e+00 
35 281 2.324979e-01 1.121359e+00 4.449902e-01 4.449902e-01 5.605217e-01 9.123257e-01 1.121359e+00 
36 289 2.332139e-01 1.086689e+00 4.302021e-01 4.302021e-01 5.439726e-01 9.040063e-01 1.086689e+00 
37 297 2.190456e-01 1.114307e+00 4.292176e-01 4.292176e-01 5.416591e-01 8.697263e-01 1.114307e+00 
38 305 2.270644e-01 1.072648e+00 4.499647e-01 4.499647e-01 5.631987e-01 8.461073e-01 1.072648e+00 
39 313 2.264441e-01 1.045458e+00 4.272634e-01 4.272634e-01 5.480587e-01 8.832807e-01 1.045458e+00 
40 321 1.977229e-01 9.950486e-01 4.156089e-01 4.156089e-01 5.348529e-01 8.385496e-01 9.950486e-01 
41 329 1.711275e-01 9.476770e-01 4.032307e-01 4.032307e-01 5.370472e-01 8.233964e-01 9.476770e-01 
42 337 1.628115e-01 9.672620e-01 3.841025e-01 3.841025e-01 5.173189e-01 7.826587e-01 9.672620e-01 
43 345 1.251066e-01 9.153610e-01 3.717751e-01 3.717751e-01 5.001006e-01 7.543117e-01 9.153610e-01 
44 353 1.194600e-01 8.776188e-01 3.760040e-01 3.760040e-01 5.019975e-01 7.217712e-01 8.776188e-01 
