%  columns="iteration, evaluation, void, void, void, xmean" (startseed=211121, 2015/04/14 9:11:58.21)
73 585 0 0 0 3.775220e-01 3.089026e-01 2.368993e-01 2.531373e-01 
74 593 0 0 0 4.109261e-01 2.929185e-01 2.686110e-01 2.651295e-01 
75 601 0 0 0 3.780332e-01 3.274698e-01 2.654776e-01 2.020367e-01 
76 609 0 0 0 3.802997e-01 3.004826e-01 2.686007e-01 1.931119e-01 
77 617 0 0 0 4.151305e-01 2.902302e-01 2.923556e-01 2.490355e-01 
78 625 0 0 0 4.331607e-01 2.728475e-01 3.202820e-01 2.800572e-01 
79 633 0 0 0 4.425753e-01 2.738885e-01 3.198227e-01 2.963648e-01 
80 641 0 0 0 4.167141e-01 3.074155e-01 3.121446e-01 2.863905e-01 
81 649 0 0 0 3.796361e-01 3.162271e-01 2.799896e-01 2.557157e-01 
82 657 0 0 0 3.915683e-01 3.197678e-01 2.883572e-01 2.728178e-01 
83 665 0 0 0 3.837647e-01 3.138274e-01 2.856941e-01 2.729747e-01 
84 673 0 0 0 3.902147e-01 3.300701e-01 3.109869e-01 2.779838e-01 
85 681 0 0 0 3.919865e-01 3.349484e-01 3.275051e-01 2.639286e-01 
86 689 0 0 0 3.895666e-01 3.410127e-01 3.324361e-01 2.697525e-01 
87 697 0 0 0 3.929117e-01 3.482247e-01 3.433835e-01 2.770241e-01 
88 705 0 0 0 3.877690e-01 3.552049e-01 3.420228e-01 2.796577e-01 
89 713 0 0 0 3.913325e-01 3.560008e-01 3.431119e-01 2.839797e-01 
90 721 0 0 0 3.923329e-01 3.492568e-01 3.306540e-01 2.795511e-01 
91 729 0 0 0 4.056786e-01 3.458245e-01 3.405536e-01 2.896099e-01 
92 737 0 0 0 4.092054e-01 3.380741e-01 3.445909e-01 2.959126e-01 
93 745 0 0 0 4.078295e-01 3.354430e-01 3.375207e-01 2.896280e-01 
94 753 0 0 0 4.086896e-01 3.271264e-01 3.340352e-01 2.871087e-01 
95 761 0 0 0 4.116174e-01 3.151421e-01 3.239181e-01 2.877137e-01 
96 769 0 0 0 3.971775e-01 3.360632e-01 3.321481e-01 2.729435e-01 
97 777 0 0 0 3.988142e-01 3.293573e-01 3.341820e-01 2.779406e-01 
98 785 0 0 0 3.999866e-01 3.233233e-01 3.226901e-01 2.747873e-01 
99 793 0 0 0 3.979608e-01 3.288871e-01 3.248660e-01 2.657829e-01 
100 801 0 0 0 3.939137e-01 3.346000e-01 3.211676e-01 2.617349e-01 
101 809 0 0 0 3.990813e-01 3.329098e-01 3.306027e-01 2.770717e-01 
102 817 0 0 0 4.025950e-01 3.311568e-01 3.339246e-01 2.775460e-01 
103 825 0 0 0 3.989051e-01 3.302979e-01 3.344831e-01 2.692810e-01 
104 833 0 0 0 3.951417e-01 3.243552e-01 3.183745e-01 2.648341e-01 
105 841 0 0 0 3.890850e-01 3.299326e-01 3.180273e-01 2.583358e-01 
