%  columns="iteration, evaluation, void, void, void, xmean" (startseed=209207, 2015/04/23 20:5:25.08)
0 1 0 0 0 0.000000e+00 -3.141593e+00 -1.136156e+00 -2.154640e+00 
1 9 0 0 0 4.308156e-01 -1.675774e+00 -6.860599e-01 -5.890902e-01 
2 17 0 0 0 5.151189e-02 -2.943634e+00 -6.859038e-01 -6.624949e-01 
3 25 0 0 0 -7.067885e-01 -2.635682e+00 -1.827803e+00 -7.618089e-01 
4 33 0 0 0 -1.445608e+00 -2.971880e+00 -1.404473e+00 -1.909912e+00 
5 41 0 0 0 -1.641585e+00 -3.014951e+00 -1.338717e+00 -9.187126e-01 
6 49 0 0 0 -1.564908e+00 -2.555782e+00 -1.200681e+00 -1.096347e+00 
7 57 0 0 0 -1.554748e+00 -2.311695e+00 -1.668515e+00 -1.328996e+00 
8 65 0 0 0 -1.063043e+00 -2.357494e+00 -1.799686e+00 -1.344120e+00 
9 73 0 0 0 -5.686833e-01 -2.047310e+00 -2.008563e+00 -1.337926e+00 
10 81 0 0 0 -1.292736e+00 -2.659937e+00 -1.968929e+00 -1.227639e+00 
