%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=213199, 2015/04/17 23:53:20.00)
1 9 4.507603e-01 0 0 4.520461e-01 5.000000e-01 4.464432e-01 4.289091e-01 
2 17 4.236250e-01 0 0 4.169429e-01 4.540573e-01 4.141850e-01 3.918014e-01 
3 25 4.499870e-01 0 0 4.241926e-01 4.628615e-01 5.000000e-01 4.155379e-01 
4 33 4.023526e-01 0 0 3.600986e-01 3.997342e-01 4.309754e-01 3.579214e-01 
5 41 3.409830e-01 0 0 2.933553e-01 3.255729e-01 3.488236e-01 2.909789e-01 
6 49 2.988845e-01 0 0 2.480966e-01 2.691134e-01 2.975267e-01 2.523283e-01 
7 57 2.537596e-01 0 0 2.070192e-01 2.189975e-01 2.405770e-01 2.076139e-01 
8 65 2.598134e-01 0 0 2.004911e-01 2.137773e-01 2.350099e-01 2.378865e-01 
9 73 2.240356e-01 0 0 1.659392e-01 1.742676e-01 1.985064e-01 1.952699e-01 
10 81 1.912198e-01 0 0 1.339577e-01 1.433703e-01 1.612865e-01 1.595348e-01 
11 89 1.581892e-01 0 0 1.070921e-01 1.168910e-01 1.271847e-01 1.322342e-01 
12 97 1.331411e-01 0 0 8.540276e-02 9.349027e-02 1.046855e-01 1.061697e-01 
