%  columns="iteration, evaluation, void, void, void, xmean" (startseed=213199, 2015/04/17 23:53:20.00)
0 1 0 0 0 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 
1 9 0 0 0 6.027310e-01 3.726120e-01 7.699395e-01 8.417898e-01 
2 17 0 0 0 4.636479e-01 3.684695e-01 1.075340e+00 8.634054e-01 
3 25 0 0 0 4.156409e-01 3.086877e-01 3.902560e-01 5.964051e-01 
4 33 0 0 0 3.784237e-01 3.251163e-01 4.557172e-01 5.421102e-01 
5 41 0 0 0 2.681497e-01 2.347740e-01 5.106162e-01 7.189732e-01 
6 49 0 0 0 3.981023e-01 2.471038e-01 3.997447e-01 4.948618e-01 
7 57 0 0 0 5.311104e-01 2.993415e-01 5.105069e-01 5.406164e-01 
8 65 0 0 0 5.227073e-01 3.660519e-01 4.509285e-01 2.765674e-01 
9 73 0 0 0 4.314059e-01 3.271683e-01 6.144033e-01 4.109228e-01 
10 81 0 0 0 4.833587e-01 2.431865e-01 6.263850e-01 4.227715e-01 
11 89 0 0 0 4.122612e-01 2.765164e-01 6.135304e-01 3.805450e-01 
12 97 0 0 0 4.516186e-01 2.711804e-01 5.340075e-01 3.524209e-01 
