%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=213199, 2015/04/17 23:53:20.00)
1 9 4.507603e-01 1.258512e+00 -5.433153781361765766e+01 -5.433153781361765766e+01 -4.305088916249294684e+00 -2.327187286005581779e+00
2 17 4.236250e-01 1.283878e+00 -1.093775251260841088e+02 -1.093775251260841088e+02 -1.012902866925989898e+01 -3.941950153885305230e+00
3 25 4.499870e-01 1.429076e+00 -1.093775251260841088e+02 -9.531401803288021313e+01 -3.989881617117260504e+01 -5.463109687316835661e+00
4 33 4.023526e-01 1.460715e+00 -1.093775251260841088e+02 -9.132628349269897683e+01 -4.156002455089853953e+01 -2.063237600682622741e+01
5 41 3.409830e-01 1.455126e+00 -1.097581765870939563e+02 -1.097581765870939563e+02 -7.014212211147524556e+01 -7.377724503656751587e+00
6 49 2.988845e-01 1.460401e+00 -1.097581765870939563e+02 -9.792284753041620604e+01 -6.231264384081026719e+01 -1.387845600800371848e+01
7 57 2.537596e-01 1.437721e+00 -1.097581765870939563e+02 -1.014409687644903357e+02 -5.392891843466762225e+01 -2.694419174336283618e+01
8 65 2.598134e-01 1.477504e+00 -1.097581765870939563e+02 -1.011972691036072831e+02 -6.277426328260170862e+01 -2.845466323847159984e+01
9 73 2.240356e-01 1.496649e+00 -1.097581765870939563e+02 -9.376987958221295116e+01 -6.246084148778903966e+01 -2.237869867548011626e+01
10 81 1.912198e-01 1.468943e+00 -1.097581765870939563e+02 -9.563827844215136054e+01 -8.138153886333495279e+01 -2.941387622021526482e+01
11 89 1.581892e-01 1.511933e+00 -1.097581765870939563e+02 -9.743361601491793067e+01 -7.697709783678105566e+01 -3.923814019922125595e+01
12 97 1.331411e-01 1.553985e+00 -1.097581765870939563e+02 -9.731541160440973215e+01 -8.952567015853487931e+01 -6.958417034683604641e+01
