%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213199, 2015/04/17 23:53:20.00)
1 9 -5.433153781361765766e+01 0 0 4.593683e-01 -1.003411e-01 4.541092e-01 9.525066e-01 
2 17 -1.093775251260841088e+02 0 0 -3.146297e-01 -4.475737e-01 1.385862e-01 3.868810e-01 
3 25 -9.531401803288021313e+01 0 0 2.297276e-01 6.525272e-02 4.358271e-01 2.298878e-01 
4 33 -9.132628349269897683e+01 0 0 3.361914e-01 4.318719e-01 2.977014e-01 3.691047e-01 
5 41 -1.097581765870939563e+02 0 0 1.714885e-01 -4.792203e-01 -3.062225e-01 4.661282e-01 
6 49 -9.792284753041620604e+01 0 0 3.397325e-01 1.908466e-01 5.690061e-01 3.755573e-01 
7 57 -1.014409687644903357e+02 0 0 4.711221e-01 -3.295966e-02 -1.369208e-01 1.297758e-01 
8 65 -1.011972691036072831e+02 0 0 5.204735e-01 3.649951e-01 3.829211e-01 1.662544e-01 
9 73 -9.376987958221295116e+01 0 0 4.511926e-01 1.584574e-02 7.062053e-01 1.773092e-02 
10 81 -9.563827844215136054e+01 0 0 1.113805e-01 4.464163e-01 2.733043e-01 1.970583e-01 
11 89 -9.743361601491793067e+01 0 0 4.544903e-01 5.592157e-01 4.580322e-01 1.770372e-02 
12 97 -9.731541160440973215e+01 0 0 4.776939e-01 3.220347e-01 5.005347e-01 3.196199e-01 
