%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214984, 2015/04/23 19:32:56.84)
1 9 1.524698e+00 0 0 1.450480e+00 1.551357e+00 1.520257e+00 1.507187e+00 
2 17 1.474769e+00 0 0 1.329599e+00 1.570796e+00 1.551876e+00 1.376231e+00 
3 25 1.474068e+00 0 0 1.371039e+00 1.570796e+00 1.497705e+00 1.355107e+00 
4 33 1.429514e+00 0 0 1.277320e+00 1.481921e+00 1.508426e+00 1.280073e+00 
5 41 1.338357e+00 0 0 1.144153e+00 1.338656e+00 1.570796e+00 1.312827e+00 
6 49 1.092716e+00 0 0 8.867988e-01 1.047983e+00 1.229652e+00 1.022233e+00 
7 57 9.130929e-01 0 0 6.988947e-01 8.453645e-01 9.987872e-01 8.168455e-01 
8 65 7.158548e-01 0 0 5.160577e-01 6.298328e-01 7.458127e-01 6.055698e-01 
9 73 6.039906e-01 0 0 4.126226e-01 5.030724e-01 5.990586e-01 4.952963e-01 
10 81 5.806811e-01 0 0 3.937449e-01 4.555207e-01 6.133745e-01 4.544087e-01 
