%  columns="iteration, evaluation, void, void, void, xmean" (startseed=214984, 2015/04/23 19:32:56.84)
0 1 0 0 0 -3.042204e-01 -2.087911e+00 -1.864838e+00 -2.703817e-02 
1 9 0 0 0 9.505233e-02 -7.410018e-01 -7.948724e-01 7.977860e-01 
2 17 0 0 0 2.077816e-01 4.337403e-01 4.916571e-01 3.269005e-01 
3 25 0 0 0 1.431200e+00 9.857675e-01 4.854624e-01 -5.551697e-01 
4 33 0 0 0 1.350169e+00 1.272792e+00 -9.703485e-01 -1.718458e-01 
5 41 0 0 0 1.402508e+00 1.991423e-01 -2.488031e+00 1.537905e+00 
6 49 0 0 0 9.585273e-01 4.021791e-01 -1.589455e+00 1.153163e+00 
7 57 0 0 0 9.680178e-01 9.196077e-01 -8.991730e-01 6.816598e-01 
8 65 0 0 0 9.847383e-01 9.552379e-01 -1.066143e+00 6.176544e-01 
9 73 0 0 0 8.467566e-01 9.552365e-01 -8.758479e-01 3.400503e-01 
10 81 0 0 0 6.243730e-01 9.076076e-01 -3.894008e-01 3.677110e-01 
