%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=214984, 2015/04/23 19:32:56.84)
1 9 -1.000000000000000000e+04 0 0 1.512068e-01 -8.218839e-01 8.439050e-02 1.227541e+00 
2 17 -1.000000000000000000e+04 0 0 7.356080e-04 6.805899e-02 5.324076e-01 1.620192e-01 
3 25 -1.000000000000000000e+04 0 0 -1.339699e+00 3.133029e+00 2.453225e+00 2.924422e-01 
4 33 -1.000000000000000000e+04 0 0 1.963986e+00 3.182658e+00 2.975943e+00 1.996312e+00 
5 41 -1.000000000000000000e+04 0 0 1.158779e+00 1.349915e-01 -4.107178e+00 1.643454e+00 
6 49 -1.000000000000000000e+04 0 0 1.096919e+00 1.211228e+00 -6.873615e-01 1.468635e+00 
7 57 -1.000000000000000000e+04 0 0 5.304902e-01 8.027178e-01 -2.358484e+00 2.491479e+00 
8 65 -1.000000000000000000e+04 0 0 1.049488e+00 1.539537e+00 -8.229674e-01 1.438058e+00 
9 73 -1.000000000000000000e+04 0 0 1.631921e+00 2.701368e+00 1.455123e-01 -1.955984e-01 
10 81 -1.000000000000000000e+04 0 0 6.459049e-01 8.024740e-01 1.267104e-01 2.958715e-01 
