%  columns="iteration, evaluation, void, void, void, xmean" (startseed=211614, 2015/04/14 20:22:41.14)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -2.496015e+00 -1.866215e+00 8.787566e-01 -1.750346e+00 
2 17 0 0 0 -3.632991e+00 -6.653225e-01 5.418077e-01 -1.094778e+00 
3 25 0 0 0 -2.441404e+00 1.934212e-01 1.266742e+00 2.634289e-01 
4 33 0 0 0 -3.517582e+00 1.253270e-01 1.481135e+00 3.026408e-01 
5 41 0 0 0 -2.995323e+00 1.426701e+00 1.830726e+00 6.786869e-01 
6 49 0 0 0 -2.764534e+00 1.192912e+00 2.000864e+00 1.194178e+00 
7 57 0 0 0 -2.957007e+00 7.495793e-01 1.796637e+00 9.806950e-01 
8 65 0 0 0 -2.880146e+00 4.689708e-01 1.468248e+00 1.525758e+00 
