%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213023, 2015/04/14 21:59:17.24)
1 9 -1.000000000000000000e+04 0 0 -3.244911e+00 -5.120163e+00 8.011646e-01 5.714688e-02 
2 17 -1.000000000000000000e+04 0 0 -5.383653e+00 -7.473637e+00 1.583940e+00 1.078979e-01 
3 25 -1.000000000000000000e+04 0 0 -3.193419e+00 -4.645673e+00 1.259023e+00 7.206762e-01 
4 33 -1.000000000000000000e+04 0 0 -3.417476e+00 -3.533666e+00 1.204084e+00 3.249768e-01 
5 41 -1.000000000000000000e+04 0 0 -4.143371e+00 -4.057362e+00 2.521281e+00 1.528643e+00 
6 49 -2.495628128125437066e-11 0 0 -2.237975e+00 -1.497325e+00 -3.103235e+00 -9.692247e-01 
7 57 -1.930127472081727935e-11 0 0 -1.014398e+00 -1.843424e+00 -2.199009e+00 -5.381143e-01 
8 65 -1.334936856836808841e-11 0 0 -6.279375e-01 -1.573443e+00 -2.346094e+00 -2.344223e+00 
9 73 -1.463210355497983393e-11 0 0 -2.263616e+00 -1.949956e+00 -1.238705e+00 -2.981366e-01 
10 81 -1.431550360900463584e-11 0 0 -2.933241e+00 -1.231569e+00 -2.134899e+00 -1.564948e+00 
11 89 -1.000000000000000000e+04 0 0 -3.721373e+00 -3.448650e+00 1.282763e-01 8.866930e-02 
12 97 -2.992769219187391917e-11 0 0 -2.289732e+00 -4.153165e+00 -1.686166e+00 -9.230722e-01 
13 105 -2.664978223008846216e-11 0 0 -1.619116e+00 -2.539209e+00 -1.513867e+00 -1.062034e+00 
14 113 -2.334103787476136410e-11 0 0 -1.993167e+00 -2.530047e+00 -1.682853e+00 -7.435926e-01 
15 121 -2.311454093781197585e-11 0 0 -6.002370e-01 -1.598862e+00 -2.263559e+00 -6.121648e-01 
16 129 -3.960184686821388613e-11 0 0 -1.059536e+00 -2.159954e+00 -2.570507e+00 -1.555885e+00 
17 137 -1.856008604275325935e-11 0 0 -1.801267e+00 -2.413205e+00 -1.799788e+00 -9.856135e-01 
18 145 -2.501073836663322319e-11 0 0 -1.211044e+00 -2.247051e+00 -2.529173e+00 -1.756674e+00 
19 153 -3.758121153790235839e-11 0 0 -1.841608e+00 -2.222488e+00 -1.673937e+00 -1.045131e+00 
20 161 -2.225192489208562997e-11 0 0 -1.897786e+00 -2.104398e+00 -1.484315e+00 -1.086841e+00 
