%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=213023, 2015/04/14 21:59:17.24)
1 9 1.461824e+00 0 0 1.395453e+00 1.570796e+00 1.501419e+00 1.436113e+00 
2 17 1.342169e+00 0 0 1.256774e+00 1.378570e+00 1.320772e+00 1.307653e+00 
3 25 1.164499e+00 0 0 1.044642e+00 1.174464e+00 1.099415e+00 1.084226e+00 
4 33 9.754344e-01 0 0 8.297067e-01 9.337754e-01 8.688395e-01 8.804532e-01 
5 41 1.192505e+00 0 0 1.233366e+00 1.101871e+00 1.206794e+00 1.090700e+00 
6 49 1.283784e+00 0 0 1.288535e+00 1.305938e+00 1.570796e+00 1.195691e+00 
7 57 1.320780e+00 0 0 1.319332e+00 1.377651e+00 1.555209e+00 1.179735e+00 
8 65 1.273180e+00 0 0 1.216814e+00 1.268821e+00 1.435345e+00 1.175203e+00 
9 73 1.094455e+00 0 0 1.014708e+00 1.034570e+00 1.170607e+00 9.810989e-01 
10 81 1.129646e+00 0 0 1.079795e+00 1.024402e+00 1.155430e+00 9.675659e-01 
11 89 1.096907e+00 0 0 1.032680e+00 1.026074e+00 1.223431e+00 9.449203e-01 
12 97 9.802317e-01 0 0 9.265192e-01 8.664270e-01 1.038682e+00 7.997916e-01 
13 105 7.911341e-01 0 0 7.125976e-01 6.602077e-01 7.938141e-01 6.091581e-01 
14 113 7.888753e-01 0 0 6.830401e-01 6.394311e-01 8.360638e-01 5.756463e-01 
15 121 7.595157e-01 0 0 6.642842e-01 5.997738e-01 7.929257e-01 5.251169e-01 
16 129 7.384808e-01 0 0 6.144321e-01 5.544988e-01 7.848648e-01 5.225880e-01 
17 137 6.039319e-01 0 0 4.819644e-01 4.349310e-01 6.171377e-01 4.111093e-01 
18 145 5.748327e-01 0 0 4.417393e-01 4.010642e-01 5.774663e-01 4.085012e-01 
19 153 5.379664e-01 0 0 4.201992e-01 3.682578e-01 5.757074e-01 3.890213e-01 
20 161 5.357867e-01 0 0 4.185056e-01 3.492133e-01 5.654702e-01 3.676288e-01 
