%  columns="iteration, evaluation, void, void, void, xmean" (startseed=213023, 2015/04/14 21:59:17.24)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -2.382641e+00 -3.691761e+00 6.957123e-01 -2.268624e-01 
2 17 0 0 0 -2.784120e+00 -3.336706e+00 7.196236e-01 4.568443e-01 
3 25 0 0 0 -3.089006e+00 -3.905781e+00 8.611579e-01 -4.357657e-03 
4 33 0 0 0 -3.186893e+00 -3.513650e+00 6.816780e-01 5.109959e-01 
5 41 0 0 0 -1.583457e+00 -3.325396e+00 -5.633223e-01 -3.578452e-01 
6 49 0 0 0 -1.725783e+00 -1.982005e+00 -2.062133e+00 -9.730755e-01 
7 57 0 0 0 -1.105206e+00 -1.396403e+00 -1.534090e+00 -9.089455e-01 
8 65 0 0 0 -1.167908e+00 -2.072173e+00 -1.835677e+00 -1.891965e+00 
9 73 0 0 0 -1.988567e+00 -1.802237e+00 -1.747470e+00 -1.062830e+00 
10 81 0 0 0 -2.795275e+00 -1.902027e+00 -2.128313e+00 -1.484468e+00 
11 89 0 0 0 -2.601148e+00 -2.843839e+00 -4.852270e-01 -7.217165e-01 
12 97 0 0 0 -1.655671e+00 -2.425646e+00 -9.563625e-01 -8.182940e-01 
13 105 0 0 0 -1.599507e+00 -2.353162e+00 -1.041740e+00 -9.518352e-01 
14 113 0 0 0 -1.596785e+00 -2.135691e+00 -1.900467e+00 -8.528637e-01 
15 121 0 0 0 -1.190878e+00 -1.875205e+00 -2.118879e+00 -8.323039e-01 
16 129 0 0 0 -1.233523e+00 -1.952645e+00 -2.600081e+00 -1.332643e+00 
17 137 0 0 0 -1.350207e+00 -2.081203e+00 -2.125985e+00 -1.301577e+00 
18 145 0 0 0 -1.142620e+00 -1.975659e+00 -2.569640e+00 -1.665256e+00 
19 153 0 0 0 -1.561764e+00 -2.223622e+00 -1.755726e+00 -1.171422e+00 
20 161 0 0 0 -1.760076e+00 -2.043991e+00 -1.584531e+00 -1.180632e+00 
