%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210206, 2015/04/23 20:15:25.07)
1 9 -1.403007438571585575e-11 0 0 -7.951411e-01 -1.591728e+00 -1.789267e+00 1.762778e+00 
2 17 -1.000000000000000000e+04 0 0 9.877055e-01 1.843173e+00 9.851616e-02 1.189627e+00 
3 25 -1.000000000000000000e+04 0 0 -1.914335e+00 5.062893e-01 1.514991e-01 2.582879e-01 
4 33 -1.000000000000000000e+04 0 0 3.867191e-01 4.823483e-01 8.528272e-01 1.256098e+00 
5 41 -1.000000000000000000e+04 0 0 1.180151e+00 1.214193e+00 2.480825e-02 -2.828041e-02 
6 49 -1.000000000000000000e+04 0 0 7.452195e-01 2.035800e+00 8.339812e-01 -1.106836e+00 
7 57 -1.000000000000000000e+04 0 0 1.085236e+00 1.127438e+00 2.261119e-01 6.148814e-01 
