%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211167, 2015/04/23 19:47:3.68)
1 9 -6.889266351706686558e-12 0 0 6.352748e-01 -2.161512e+00 -1.324741e+00 -2.042469e+00 
2 17 -2.920752735687577499e-11 0 0 -1.882174e+00 -1.562275e+00 -1.219047e+00 -4.192439e-01 
3 25 -7.279024567369539590e-12 0 0 -3.001840e-01 -1.646353e+00 -1.496644e+00 -5.793852e-01 
4 33 -1.343280604238510951e-11 0 0 -1.545019e+00 -1.089880e+00 -2.704918e+00 1.396703e+00 
5 41 -2.125550341769403792e-11 0 0 -2.468091e+00 -1.269623e+00 -2.106011e+00 -3.427892e-01 
6 49 -2.266243914268774603e-11 0 0 -2.183528e+00 -1.238975e+00 -5.923569e-01 -1.705166e+00 
7 57 -1.656842474270458457e-11 0 0 -3.229793e-01 -2.041658e+00 -1.329739e+00 -7.342443e-01 
8 65 -2.465281850628713680e-11 0 0 -8.859029e-01 -1.226515e+00 -1.420592e+00 -1.922358e+00 
9 73 -2.465318581712894339e-11 0 0 -1.206333e+00 -2.044064e+00 -1.507622e+00 -2.038672e+00 
10 81 -1.401423956648678075e-11 0 0 -1.406923e-01 -1.824967e+00 -2.547312e+00 -1.128227e+00 
