%  columns="iteration, evaluation, void, void, void, xmean" (startseed=211167, 2015/04/23 19:47:3.68)
0 1 0 0 0 -9.464819e-01 -1.458774e+00 -1.556112e+00 0.000000e+00 
1 9 0 0 0 2.654072e-01 -2.131532e+00 -1.245469e+00 -2.056357e+00 
2 17 0 0 0 -1.273194e+00 -1.429763e+00 -1.340999e+00 -1.272948e+00 
3 25 0 0 0 -8.086727e-01 -1.415883e+00 -1.561534e+00 -7.162021e-01 
4 33 0 0 0 -1.216538e+00 -1.478333e+00 -2.713313e+00 2.244988e-01 
5 41 0 0 0 -2.126017e+00 -1.390861e+00 -1.694032e+00 -1.433872e-01 
6 49 0 0 0 -2.176612e+00 -1.294007e+00 -8.534021e-01 -8.496645e-01 
7 57 0 0 0 -1.173702e+00 -1.183172e+00 -9.804479e-01 -1.030705e+00 
8 65 0 0 0 -9.586654e-01 -1.361244e+00 -1.495678e+00 -1.720528e+00 
9 73 0 0 0 -1.161811e+00 -1.503050e+00 -1.602668e+00 -2.175631e+00 
10 81 0 0 0 -8.357732e-01 -2.140144e+00 -1.759011e+00 -1.881525e+00 
