%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=211167, 2015/04/23 19:47:3.68)
1 9 1.420793e+00 0 0 1.420722e+00 1.364634e+00 1.341237e+00 1.570796e+00 
2 17 1.225502e+00 0 0 1.248379e+00 1.122119e+00 1.090554e+00 1.295990e+00 
3 25 9.735022e-01 0 0 9.620436e-01 8.519311e-01 8.221881e-01 9.863416e-01 
4 33 1.085046e+00 0 0 1.031735e+00 9.041291e-01 1.034626e+00 1.199590e+00 
5 41 1.041310e+00 0 0 1.031852e+00 8.190321e-01 9.723092e-01 1.096337e+00 
6 49 1.015201e+00 0 0 9.695302e-01 7.527657e-01 9.787999e-01 1.058295e+00 
7 57 9.082545e-01 0 0 8.903814e-01 6.707638e-01 8.515586e-01 9.072223e-01 
8 65 8.987635e-01 0 0 8.549680e-01 6.296162e-01 8.114720e-01 9.197734e-01 
9 73 8.823167e-01 0 0 7.916883e-01 6.014392e-01 7.610675e-01 9.123355e-01 
10 81 8.701340e-01 0 0 7.746227e-01 6.347611e-01 7.404789e-01 8.838768e-01 
