%  columns="iteration, evaluation, void, void, void, xmean" (startseed=214874, 2015/04/14 19:47:49.74)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -1.484790e+00 -2.030107e+00 -1.280448e+00 3.918313e-01 
2 17 0 0 0 -8.450789e-01 -2.132478e+00 -1.012971e+00 -6.291980e-01 
3 25 0 0 0 -1.907290e+00 -1.980812e+00 -1.149620e-01 -6.759117e-01 
4 33 0 0 0 -1.880439e+00 -2.224465e+00 -3.605091e-01 -1.817271e-01 
5 41 0 0 0 -2.091686e+00 -1.491056e+00 -7.299400e-01 -4.121980e-01 
6 49 0 0 0 -2.037087e+00 -1.774039e+00 -8.115512e-01 -8.186265e-01 
7 57 0 0 0 -2.132443e+00 -1.971677e+00 -7.135860e-01 -1.419443e+00 
8 65 0 0 0 -2.156550e+00 -1.648915e+00 -5.897109e-01 -1.276394e+00 
