%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214874, 2015/04/14 19:47:49.74)
1 9 1.462146e+00 0 0 1.397695e+00 1.389598e+00 1.396043e+00 1.505122e+00 
2 17 1.254359e+00 0 0 1.206780e+00 1.123973e+00 1.127292e+00 1.272797e+00 
3 25 1.143974e+00 0 0 1.084497e+00 9.737701e-01 1.034924e+00 1.114266e+00 
4 33 9.356653e-01 0 0 8.385199e-01 7.552494e-01 8.008169e-01 8.933356e-01 
5 41 8.692527e-01 0 0 7.448436e-01 7.131688e-01 7.145991e-01 7.846057e-01 
6 49 7.408818e-01 0 0 5.983793e-01 5.762716e-01 5.815537e-01 6.489658e-01 
7 57 7.277591e-01 0 0 5.630363e-01 5.552682e-01 5.403005e-01 6.752040e-01 
8 65 6.150650e-01 0 0 4.492418e-01 4.511673e-01 4.411596e-01 5.433708e-01 
