%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=214874, 2015/04/14 19:47:49.74)
1 9 -1.986133038035801351e-11 0 0 -1.462680e+00 -2.456181e+00 -1.091772e+00 1.319415e+00 
2 17 -2.165583254327145045e-11 0 0 4.837443e-01 -2.258386e+00 -1.060014e+00 -1.817239e+00 
3 25 -1.366777026790868824e-11 0 0 -2.241681e+00 -1.885534e+00 3.192914e-01 -1.111513e+00 
4 33 -5.884482975558796536e-12 0 0 -1.811274e+00 -2.318957e+00 -4.821652e-01 5.050085e-01 
5 41 -1.387124591858576119e-11 0 0 -2.121644e+00 -1.363224e+00 -4.794546e-01 -2.644193e-01 
6 49 -3.841765548774451984e-11 0 0 -2.167192e+00 -1.661583e+00 -6.278779e-01 -1.029914e+00 
7 57 -1.701150499510929223e-11 0 0 -1.933292e+00 -2.512594e+00 -5.301351e-01 -1.245542e+00 
8 65 -3.492695820661422444e-11 0 0 -2.021973e+00 -1.578507e+00 -1.510985e-01 -1.115155e+00 
