%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=212162, 2015/04/14 20:53:15.62)
1 9 -1.271969438855982113e-11 0 0 -2.723510e+00 -9.858444e-01 1.170898e+00 -1.491232e+00 
2 17 -1.000000000000000000e+04 0 0 1.001185e+00 -1.988873e+00 8.664596e-01 1.010887e+00 
3 25 -1.000000000000000000e+04 0 0 3.772204e-01 -5.145703e-02 2.089505e+00 1.535694e+00 
4 33 -1.000000000000000000e+04 0 0 6.071608e-01 -3.498646e-01 1.344352e+00 3.115064e+00 
5 41 -1.000000000000000000e+04 0 0 -2.266836e+00 1.267482e+00 4.634825e-02 2.621186e-02 
6 49 -1.000000000000000000e+04 0 0 -7.491386e-01 1.091226e+00 9.030976e-01 1.124123e-01 
7 57 -1.000000000000000000e+04 0 0 3.757478e-01 7.321579e-01 1.076137e+00 -1.072616e+00 
8 65 -1.000000000000000000e+04 0 0 1.199475e+00 1.841058e+00 2.240943e+00 2.726584e-01 
9 73 -1.000000000000000000e+04 0 0 1.374946e+00 1.790680e+00 3.832571e+00 3.639028e-01 
10 81 -1.000000000000000000e+04 0 0 8.445313e-01 -9.654365e-01 1.591868e+00 1.009271e+00 
11 89 -1.000000000000000000e+04 0 0 5.039868e-01 3.212916e-01 1.399984e+00 1.642189e-02 
12 97 -1.000000000000000000e+04 0 0 3.052833e-02 1.835126e+00 5.052558e-02 6.400807e-01 
13 105 -1.000000000000000000e+04 0 0 8.898193e-01 9.076109e-01 1.548596e+00 5.457367e-01 
14 113 -1.000000000000000000e+04 0 0 6.557485e-01 1.203044e+00 2.049290e-01 5.133442e-01 
15 121 -1.000000000000000000e+04 0 0 5.580051e-01 7.028150e-01 3.912520e-03 9.064629e-01 
