%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=212162, 2015/04/14 20:53:15.62)
1 9 1.491530e+00 0 0 1.445107e+00 1.529420e+00 1.462655e+00 1.421200e+00 
2 17 1.470880e+00 0 0 1.570796e+00 1.438686e+00 1.446237e+00 1.554260e+00 
3 25 1.430581e+00 0 0 1.463698e+00 1.379663e+00 1.371085e+00 1.489208e+00 
4 33 1.337707e+00 0 0 1.366241e+00 1.285167e+00 1.215086e+00 1.336440e+00 
5 41 1.303546e+00 0 0 1.314942e+00 1.267371e+00 1.138048e+00 1.277296e+00 
6 49 1.175620e+00 0 0 1.137143e+00 1.131848e+00 1.057058e+00 1.137143e+00 
7 57 1.273428e+00 0 0 1.256272e+00 1.304196e+00 1.173149e+00 1.171318e+00 
8 65 1.404047e+00 0 0 1.449369e+00 1.458831e+00 1.394178e+00 1.317919e+00 
9 73 1.291082e+00 0 0 1.298134e+00 1.280886e+00 1.242353e+00 1.166751e+00 
10 81 1.095192e+00 0 0 1.038962e+00 1.051211e+00 1.017620e+00 9.316929e-01 
11 89 8.706652e-01 0 0 7.785672e-01 7.937765e-01 7.767199e-01 7.059920e-01 
12 97 7.656795e-01 0 0 6.475551e-01 6.875010e-01 6.435383e-01 5.922029e-01 
13 105 6.962441e-01 0 0 5.551241e-01 5.931614e-01 5.926535e-01 5.111146e-01 
14 113 5.859446e-01 0 0 4.502368e-01 4.747407e-01 4.719179e-01 4.078494e-01 
15 121 4.762815e-01 0 0 3.465283e-01 3.647969e-01 3.664434e-01 3.289784e-01 
