%  columns="iteration, evaluation, void, void, void, xmean" (startseed=212162, 2015/04/14 20:53:15.62)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -1.685497e+00 -8.599249e-01 -5.910717e-02 -1.611479e+00 
2 17 0 0 0 7.196354e-02 -1.292405e+00 8.735950e-01 2.841721e-01 
3 25 0 0 0 -4.604955e-01 -4.498159e-01 8.998141e-01 5.689963e-01 
4 33 0 0 0 -1.147502e+00 1.743622e-01 9.356588e-01 6.434079e-01 
5 41 0 0 0 -1.940765e+00 8.598048e-01 3.731990e-01 -1.505868e-01 
6 49 0 0 0 -1.150002e+00 -1.117342e-01 -1.954072e-01 -6.458992e-01 
7 57 0 0 0 -2.951743e-01 1.228678e+00 9.940815e-01 -6.148221e-01 
8 65 0 0 0 4.265484e-01 1.868587e+00 2.090973e+00 5.510714e-01 
9 73 0 0 0 7.097371e-01 9.541513e-01 9.293566e-01 4.551842e-01 
10 81 0 0 0 3.946151e-01 4.532976e-01 4.210537e-01 2.838934e-01 
11 89 0 0 0 4.943371e-01 5.591936e-01 4.544243e-01 7.553746e-02 
12 97 0 0 0 5.915724e-01 1.098621e+00 5.241876e-01 3.820577e-01 
13 105 0 0 0 4.566264e-01 7.770404e-01 1.898338e-02 3.789257e-01 
14 113 0 0 0 7.246890e-01 6.538796e-01 2.356768e-01 4.904220e-01 
15 121 0 0 0 5.485482e-01 6.255912e-01 9.071272e-02 5.060771e-01 
