%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213094, 2015/04/23 19:57:12.95)
1 9 -8.301257505976603162e-12 0 0 -2.003573e+00 -1.287410e+00 -2.858312e+00 -2.078790e+00 
2 17 -1.000000000000000000e+04 0 0 -4.033953e+00 -3.682420e+00 4.496830e-01 -3.723597e+00 
3 25 -1.000000000000000000e+04 0 0 -4.104123e+00 -3.692315e+00 6.573129e-01 2.939256e-01 
4 33 -1.000000000000000000e+04 0 0 -3.417834e+00 -3.581231e+00 1.082933e+00 1.670426e+00 
5 41 -1.000000000000000000e+04 0 0 2.786903e-01 -4.486962e+00 5.731889e-01 1.499523e+00 
6 49 -1.000000000000000000e+04 0 0 -3.644095e+00 -3.533928e+00 8.522351e-01 1.036375e+00 
7 57 -1.000000000000000000e+04 0 0 -5.511205e+00 -5.346884e+00 2.209664e+00 6.058263e-01 
8 65 -1.000000000000000000e+04 0 0 -5.710820e+00 -5.146821e+00 3.631277e+00 1.963767e+00 
9 73 -1.000000000000000000e+04 0 0 -3.954500e+00 -4.287246e+00 1.579575e+00 4.173290e-01 
10 81 -1.000000000000000000e+04 0 0 -5.519899e+00 -4.337506e+00 2.122796e+00 1.353101e+00 
