%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=213094, 2015/04/23 19:57:12.95)
1 9 1.360844e+00 0 0 1.315852e+00 1.312404e+00 1.348841e+00 1.297164e+00 
2 17 1.461874e+00 0 0 1.570796e+00 1.480815e+00 1.484422e+00 1.376498e+00 
3 25 1.468739e+00 0 0 1.570796e+00 1.448571e+00 1.500049e+00 1.436236e+00 
4 33 1.421770e+00 0 0 1.449404e+00 1.341820e+00 1.493312e+00 1.570796e+00 
5 41 1.427288e+00 0 0 1.499020e+00 1.339304e+00 1.420305e+00 1.540185e+00 
6 49 1.311551e+00 0 0 1.405088e+00 1.209323e+00 1.229234e+00 1.353928e+00 
7 57 1.170149e+00 0 0 1.296661e+00 1.075093e+00 1.122144e+00 1.155908e+00 
8 65 1.027435e+00 0 0 1.129154e+00 9.365983e-01 1.015743e+00 9.907920e-01 
9 73 1.014383e+00 0 0 1.111996e+00 8.764529e-01 1.057134e+00 9.692219e-01 
10 81 1.057004e+00 0 0 1.208752e+00 8.821567e-01 1.171858e+00 9.942730e-01 
