%  columns="iteration, evaluation, void, void, void, xmean" (startseed=213094, 2015/04/23 19:57:12.95)
0 1 0 0 0 -8.671709e-01 -1.635572e+00 -9.604418e-01 -2.365491e+00 
1 9 0 0 0 -1.027775e+00 -1.144841e+00 -1.904648e+00 -1.844262e+00 
2 17 0 0 0 -2.638149e+00 -2.578461e+00 -4.395360e-01 -2.318695e+00 
3 25 0 0 0 -2.834334e+00 -2.722246e+00 2.377511e-01 -9.871987e-01 
4 33 0 0 0 -2.604600e+00 -2.839715e+00 1.239702e+00 6.093841e-01 
5 41 0 0 0 -1.438552e+00 -3.484735e+00 6.257846e-01 3.307241e-01 
6 49 0 0 0 -3.067358e+00 -3.746602e+00 5.702579e-01 3.844182e-01 
7 57 0 0 0 -3.564033e+00 -3.830028e+00 3.262100e-01 -1.070751e-01 
8 65 0 0 0 -3.618543e+00 -4.329433e+00 1.047467e+00 3.616721e-01 
9 73 0 0 0 -4.148577e+00 -4.315951e+00 1.945995e+00 8.916490e-01 
10 81 0 0 0 -4.995066e+00 -4.592445e+00 2.706644e+00 1.296859e+00 
