%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=211565, 2015/04/14 21:21:40.65)
1 9 1.363421e+00 1.075605e+00 -1.231886528325680469e-11 -1.231886528325680469e-11 -2.263241022361163532e-12 -1.332222229733110526e-13
2 17 1.293477e+00 1.202311e+00 -2.109331661289234341e-11 -2.109331661289234341e-11 -5.224031999248495356e-12 -3.114876077989396208e-13
3 25 1.292148e+00 1.212339e+00 -2.109331661289234341e-11 -5.363506383991703231e-12 -1.527519107552476883e-12 -2.894258812961131911e-14
4 33 1.345202e+00 1.526179e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -2.309437036882842291e-12 -3.896832291380895129e-13
5 41 1.225770e+00 1.505268e+00 -1.000000000000000000e+04 -6.257147486584053794e-12 -1.670651666574237824e-12 -1.196662256154941503e-14
6 49 1.151390e+00 1.551851e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -1.614559589889480738e-12 -1.538168341610915027e-13
7 57 1.099636e+00 1.640268e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -1.474111910375720175e-12 -1.013418986789624579e-13
8 65 1.109962e+00 1.745326e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -5.000000000000002728e+03 -7.095892217657391687e-14
9 73 1.064376e+00 1.877947e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -5.000000000000000000e+03 -5.669596659915687807e-16
10 81 1.002431e+00 1.879953e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -1.000000000000000000e+04 -5.026399912472834830e-14
11 89 8.832976e-01 1.916674e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -7.551719312452719402e-14 -0.000000000000000000e+00
12 97 8.777855e-01 1.917832e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -1.000000000000000000e+04 -0.000000000000000000e+00
13 105 9.101744e-01 1.936034e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -1.000000000000000000e+04 -2.805481308574910058e-14
14 113 9.134634e-01 1.847223e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -5.000000000000001819e+03 -7.683182266629440249e-15
15 121 1.036649e+00 1.740766e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -1.000000000000000000e+04 -4.835784518568693766e-15
16 129 1.001889e+00 1.705751e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -1.000000000000000000e+04 -8.440172199045947007e-14
17 137 9.008565e-01 1.689382e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -5.000000000000000000e+03 -0.000000000000000000e+00
