%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=211565, 2015/04/14 21:21:40.65)
1 9 1.363421e+00 0 0 1.348803e+00 1.294386e+00 1.286133e+00 1.317948e+00 
2 17 1.293477e+00 0 0 1.345202e+00 1.173805e+00 1.177472e+00 1.187533e+00 
3 25 1.292148e+00 0 0 1.301088e+00 1.110380e+00 1.135371e+00 1.260354e+00 
4 33 1.345202e+00 0 0 1.570796e+00 1.181447e+00 1.122500e+00 1.309560e+00 
5 41 1.225770e+00 0 0 1.380570e+00 1.021444e+00 1.012203e+00 1.167136e+00 
6 49 1.151390e+00 0 0 1.251248e+00 9.787939e-01 9.435959e-01 1.045459e+00 
7 57 1.099636e+00 0 0 1.221543e+00 9.403515e-01 8.602025e-01 9.422985e-01 
8 65 1.109962e+00 0 0 1.189901e+00 9.950683e-01 8.477328e-01 9.038752e-01 
9 73 1.064376e+00 0 0 1.163561e+00 9.353020e-01 7.848610e-01 8.262513e-01 
10 81 1.002431e+00 0 0 1.089396e+00 8.466406e-01 7.087630e-01 7.392803e-01 
11 89 8.832976e-01 0 0 9.519254e-01 7.339470e-01 5.911449e-01 6.311627e-01 
12 97 8.777855e-01 0 0 9.213993e-01 7.038622e-01 6.322620e-01 6.148244e-01 
13 105 9.101744e-01 0 0 9.111169e-01 6.920086e-01 6.830449e-01 6.632410e-01 
14 113 9.134634e-01 0 0 8.798938e-01 6.538008e-01 7.466361e-01 6.306283e-01 
15 121 1.036649e+00 0 0 9.582156e-01 7.137701e-01 8.691626e-01 7.436507e-01 
16 129 1.001889e+00 0 0 8.821029e-01 6.512749e-01 8.138047e-01 6.951772e-01 
17 137 9.008565e-01 0 0 7.525614e-01 5.689874e-01 7.020425e-01 6.011443e-01 
