%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211565, 2015/04/14 21:21:40.65)
1 9 -1.231886528325680469e-11 0 0 -7.303452e-01 -1.569784e+00 -9.561714e-01 -2.447977e+00 
2 17 -2.109331661289234341e-11 0 0 -2.451013e+00 -2.347822e+00 -1.478992e+00 -1.000337e+00 
3 25 -5.363506383991703231e-12 0 0 -1.308937e+00 -2.007299e+00 -1.838160e+00 4.629723e-01 
4 33 -1.000000000000000000e+04 0 0 1.277719e+00 3.235108e-01 -1.127135e+00 1.414363e+00 
5 41 -6.257147486584053794e-12 0 0 -2.036678e+00 -3.471819e-01 -1.464173e+00 2.100971e+00 
6 49 -1.000000000000000000e+04 0 0 8.651515e-02 4.400895e-01 -7.295421e-01 1.200513e+00 
7 57 -1.000000000000000000e+04 0 0 1.329684e+00 4.440848e-01 -1.566298e+00 5.044126e-01 
8 65 -1.000000000000000000e+04 0 0 5.709963e-02 8.006975e-01 -9.951571e-01 7.432781e-01 
9 73 -1.000000000000000000e+04 0 0 1.287277e+00 1.851253e-01 -9.881896e-01 7.733614e-02 
10 81 -1.000000000000000000e+04 0 0 1.411698e+00 4.094713e-01 -1.167837e+00 1.137305e+00 
11 89 -1.000000000000000000e+04 0 0 2.188425e+00 1.251157e-01 -9.571728e-01 1.466170e+00 
12 97 -1.000000000000000000e+04 0 0 2.130420e+00 1.586862e-01 -6.600276e-01 1.119204e+00 
13 105 -1.000000000000000000e+04 0 0 7.284498e-01 5.996730e-01 -1.913423e+00 1.959667e+00 
14 113 -1.000000000000000000e+04 0 0 5.516245e-03 3.655598e-01 -3.060163e+00 1.395728e+00 
15 121 -1.000000000000000000e+04 0 0 7.537942e-01 2.491219e-01 -3.117308e+00 1.509438e+00 
16 129 -1.000000000000000000e+04 0 0 2.261157e+00 1.219570e+00 -2.191910e+00 5.467132e-02 
17 137 -1.000000000000000000e+04 0 0 7.026524e-01 6.230980e-01 -2.073341e+00 1.023128e+00 
