%  columns="iteration, evaluation, void, void, void, xmean" (startseed=211565, 2015/04/14 21:21:40.65)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -1.103480e+00 -1.978059e+00 -8.519697e-01 -1.622190e+00 
2 17 0 0 0 -2.829088e+00 -1.753608e+00 -1.481710e+00 -1.109030e+00 
3 25 0 0 0 -1.951162e+00 -1.659580e+00 -1.838860e+00 1.369936e-01 
4 33 0 0 0 -1.074206e-01 -1.145249e+00 -1.318991e+00 2.374902e-01 
5 41 0 0 0 -1.219954e+00 -1.215849e+00 -1.979513e+00 7.464275e-01 
6 49 0 0 0 -6.344995e-01 -6.133616e-01 -1.088494e+00 6.562820e-01 
7 57 0 0 0 1.235187e-01 -1.113290e-01 -1.341248e+00 5.639658e-01 
8 65 0 0 0 3.352095e-01 6.124066e-01 -8.527457e-01 7.602552e-01 
9 73 0 0 0 1.183025e+00 7.209712e-01 -7.715345e-01 6.155822e-01 
10 81 0 0 0 1.613699e+00 1.986563e-01 -7.845347e-01 6.847898e-01 
11 89 0 0 0 1.011609e+00 -2.424490e-01 -7.888995e-01 9.110603e-01 
12 97 0 0 0 5.580011e-01 2.597009e-01 -1.414361e+00 1.187527e+00 
13 105 0 0 0 7.488658e-01 3.308617e-01 -1.818352e+00 1.667397e+00 
14 113 0 0 0 7.571215e-01 2.558834e-01 -2.278083e+00 1.453549e+00 
15 121 0 0 0 3.863088e-01 5.203083e-01 -2.616497e+00 8.070818e-01 
16 129 0 0 0 7.566181e-01 3.681619e-01 -2.675402e+00 6.755954e-01 
17 137 0 0 0 9.053842e-01 7.277964e-01 -2.635920e+00 6.209194e-01 
