%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=211059, 2015/04/14 20:28:29.60)
1 9 -3.103194165304574009e-11 0 0 -1.516832e+00 -2.230345e+00 -2.062422e+00 -7.213988e-01 
2 17 -1.707425488319102703e-11 0 0 -2.863329e+00 -2.154826e+00 -1.117536e+00 -1.793655e+00 
3 25 -2.571090123167211004e-11 0 0 -1.806281e+00 -1.558248e+00 -2.250628e+00 -1.413794e+00 
4 33 -2.242632084782655809e-11 0 0 -1.845518e+00 -5.897821e-01 -2.220974e+00 -1.647237e+00 
5 41 -2.230502641959323640e-11 0 0 -1.760296e+00 -1.013799e+00 -2.513995e+00 -2.123834e+00 
6 49 -2.147690175058272259e-11 0 0 -1.756588e+00 -5.878902e-01 -2.507208e+00 -1.532616e+00 
7 57 -2.202340940813368536e-11 0 0 -1.729574e+00 -6.508773e-01 -1.118654e+00 -1.286789e+00 
8 65 -3.597323712682125770e-11 0 0 -2.205113e+00 -9.963795e-01 -1.331715e+00 -1.404813e+00 
9 73 -3.484070269943596734e-11 0 0 -2.222804e+00 -1.011918e+00 -1.662391e+00 -1.291893e+00 
10 81 -4.205249872335872509e-11 0 0 -2.230512e+00 -9.073370e-01 -1.649952e+00 -1.590063e+00 
11 89 -3.418328947710235540e-11 0 0 -2.028975e+00 -1.043324e+00 -1.032197e+00 -1.511997e+00 
12 97 -2.182625654458438347e-11 0 0 -1.984539e+00 -1.640810e+00 -7.752863e-01 -1.443661e+00 
13 105 -3.719040890143786268e-11 0 0 -2.068625e+00 -1.678805e+00 -6.339128e-01 -1.097201e+00 
