%  columns="iteration, evaluation, void, void, void, xmean" (startseed=211059, 2015/04/14 20:28:29.60)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -1.769251e+00 -3.003759e+00 -1.300872e+00 -1.039324e+00 
2 17 0 0 0 -2.497056e+00 -1.943197e+00 -1.547689e+00 -1.620962e+00 
3 25 0 0 0 -2.173852e+00 -1.649344e+00 -2.132420e+00 -1.533027e+00 
4 33 0 0 0 -2.157583e+00 -1.175051e+00 -2.192914e+00 -1.767127e+00 
5 41 0 0 0 -2.101046e+00 -1.202359e+00 -2.182235e+00 -1.631372e+00 
6 49 0 0 0 -2.090423e+00 -7.197980e-01 -2.189470e+00 -1.482132e+00 
7 57 0 0 0 -1.892485e+00 -9.981620e-01 -1.469755e+00 -1.270681e+00 
8 65 0 0 0 -2.004031e+00 -1.408032e+00 -1.121413e+00 -1.341278e+00 
9 73 0 0 0 -2.090555e+00 -1.349269e+00 -1.395407e+00 -1.261847e+00 
10 81 0 0 0 -2.141723e+00 -1.193455e+00 -1.292458e+00 -1.363036e+00 
11 89 0 0 0 -1.987625e+00 -1.215161e+00 -1.103161e+00 -1.170288e+00 
12 97 0 0 0 -1.968556e+00 -1.436413e+00 -7.527521e-01 -1.265008e+00 
13 105 0 0 0 -2.086917e+00 -1.556818e+00 -1.074388e+00 -1.062581e+00 
