%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=211059, 2015/04/14 20:28:29.60)
1 9 1.299334e+00 0 0 1.229745e+00 1.276657e+00 1.247175e+00 1.223530e+00 
2 17 1.188713e+00 0 0 1.112690e+00 1.155858e+00 1.099987e+00 1.079983e+00 
3 25 1.077123e+00 0 0 9.575047e-01 1.010923e+00 9.845714e-01 9.233678e-01 
4 33 9.714246e-01 0 0 8.261132e-01 9.095511e-01 8.464431e-01 7.976010e-01 
5 41 7.806182e-01 0 0 6.280924e-01 6.942793e-01 6.448988e-01 6.206508e-01 
6 49 7.089701e-01 0 0 5.431695e-01 6.348459e-01 5.555812e-01 5.330973e-01 
7 57 7.114909e-01 0 0 5.225869e-01 6.123634e-01 6.110933e-01 5.164939e-01 
8 65 7.039224e-01 0 0 5.005710e-01 6.063667e-01 6.260324e-01 4.817934e-01 
9 73 5.636574e-01 0 0 3.790075e-01 4.634508e-01 4.790776e-01 3.649453e-01 
10 81 4.615633e-01 0 0 2.941619e-01 3.638600e-01 3.783218e-01 2.859087e-01 
11 89 4.162691e-01 0 0 2.555783e-01 3.123590e-01 3.363938e-01 2.640016e-01 
12 97 4.297031e-01 0 0 2.497449e-01 3.229562e-01 3.770133e-01 2.623366e-01 
13 105 4.136929e-01 0 0 2.296021e-01 3.058437e-01 3.656403e-01 2.546633e-01 
