%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=208958, 2015/04/14 21:2:33.58)
1 9 1.440234e+00 0 0 1.366975e+00 1.418940e+00 1.449375e+00 1.371564e+00 
2 17 1.177784e+00 0 0 1.061677e+00 1.108662e+00 1.131773e+00 1.071221e+00 
3 25 9.883825e-01 0 0 8.512242e-01 9.091400e-01 9.203186e-01 8.510944e-01 
4 33 8.943279e-01 0 0 7.261350e-01 7.794270e-01 8.291484e-01 7.525296e-01 
5 41 7.159305e-01 0 0 5.582517e-01 5.888471e-01 6.393440e-01 5.695963e-01 
6 49 6.245265e-01 0 0 4.920091e-01 4.844099e-01 5.410036e-01 4.705741e-01 
7 57 5.955755e-01 0 0 4.498960e-01 4.446732e-01 5.210137e-01 4.320132e-01 
8 65 4.844131e-01 0 0 3.623940e-01 3.414341e-01 4.133618e-01 3.356467e-01 
9 73 4.433271e-01 0 0 3.471792e-01 2.953346e-01 3.620537e-01 2.900532e-01 
10 81 4.356094e-01 0 0 3.373306e-01 2.771166e-01 3.443265e-01 2.939933e-01 
11 89 4.006728e-01 0 0 2.979979e-01 2.532441e-01 3.162124e-01 2.653097e-01 
12 97 3.277094e-01 0 0 2.321682e-01 1.979686e-01 2.526714e-01 2.075366e-01 
13 105 3.139363e-01 0 0 2.223955e-01 1.848150e-01 2.333603e-01 1.886822e-01 
14 113 3.289121e-01 0 0 2.445636e-01 1.826498e-01 2.361580e-01 1.954133e-01 
15 121 2.928075e-01 0 0 2.109618e-01 1.552899e-01 2.037063e-01 1.646635e-01 
16 129 2.577086e-01 0 0 1.752785e-01 1.312507e-01 1.737367e-01 1.383072e-01 
