%  columns="iteration, evaluation, void, void, void, xmean" (startseed=208958, 2015/04/14 21:2:33.58)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -1.613747e+00 -1.501044e+00 -2.007953e+00 -9.356221e-01 
2 17 0 0 0 -1.388099e+00 -2.170728e+00 -1.189666e+00 -1.438033e+00 
3 25 0 0 0 -1.187958e+00 -2.607869e+00 -1.329594e+00 -1.374638e+00 
4 33 0 0 0 -1.231165e+00 -2.268727e+00 -1.977202e+00 -8.193469e-01 
5 41 0 0 0 -1.503750e+00 -2.170616e+00 -1.461687e+00 -1.042989e+00 
6 49 0 0 0 -1.006546e+00 -2.202939e+00 -1.637206e+00 -1.197820e+00 
7 57 0 0 0 -9.453694e-01 -2.087017e+00 -2.080862e+00 -1.342116e+00 
8 65 0 0 0 -1.155960e+00 -2.111696e+00 -1.634829e+00 -1.112128e+00 
9 73 0 0 0 -7.695024e-01 -2.169990e+00 -1.783666e+00 -1.142321e+00 
10 81 0 0 0 -6.462239e-01 -2.070872e+00 -1.914691e+00 -1.421973e+00 
11 89 0 0 0 -6.211792e-01 -1.957008e+00 -1.839854e+00 -1.481066e+00 
12 97 0 0 0 -7.710083e-01 -2.062037e+00 -1.951056e+00 -1.425514e+00 
13 105 0 0 0 -9.096118e-01 -1.938323e+00 -2.019169e+00 -1.473243e+00 
14 113 0 0 0 -1.085830e+00 -1.964537e+00 -1.893824e+00 -1.579295e+00 
15 121 0 0 0 -1.104175e+00 -2.036882e+00 -1.967684e+00 -1.534015e+00 
16 129 0 0 0 -1.038892e+00 -2.078825e+00 -2.052335e+00 -1.585619e+00 
