%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=208958, 2015/04/14 21:2:33.58)
1 9 -6.207436128396657482e-12 0 0 -1.623631e+00 -2.341210e+00 -2.546388e+00 -1.535321e+00 
2 17 -2.913061879902838170e-11 0 0 -1.287976e+00 -2.448535e+00 -9.974670e-01 -1.696410e+00 
3 25 -1.178916070855721315e-11 0 0 -9.409182e-01 -1.798689e+00 -2.652486e-01 -1.146069e+00 
4 33 -1.925429695023588735e-11 0 0 -1.093227e+00 -2.103683e+00 -2.440983e+00 -8.218260e-01 
5 41 -2.561947340196091649e-11 0 0 -1.664506e+00 -2.076321e+00 -1.084336e+00 -1.069952e+00 
6 49 -1.459217239480939499e-11 0 0 -6.494008e-01 -2.077850e+00 -1.194016e+00 -1.215343e+00 
7 57 -4.591016489212754231e-11 0 0 -9.095784e-01 -2.440814e+00 -2.076620e+00 -1.492587e+00 
8 65 -3.736234978211260711e-11 0 0 -1.509716e+00 -1.984549e+00 -1.605073e+00 -1.177845e+00 
9 73 -3.906810346610989443e-11 0 0 -1.056537e+00 -2.231390e+00 -1.543523e+00 -1.035148e+00 
10 81 -1.875675896690272167e-11 0 0 -6.972095e-01 -1.944279e+00 -1.701217e+00 -1.567445e+00 
11 89 -2.044966931793162217e-11 0 0 -5.160420e-01 -1.901431e+00 -1.393469e+00 -1.561322e+00 
12 97 -3.512246823487063929e-11 0 0 -7.939629e-01 -2.031067e+00 -1.683904e+00 -1.317038e+00 
13 105 -2.767377413767167016e-11 0 0 -9.287829e-01 -1.912150e+00 -2.150414e+00 -1.425826e+00 
14 113 -3.781937684797725154e-11 0 0 -1.170347e+00 -1.996977e+00 -1.747954e+00 -1.512176e+00 
15 121 -4.618140487529256979e-11 0 0 -1.142691e+00 -1.977040e+00 -2.163817e+00 -1.570950e+00 
16 129 -4.301316662497065149e-11 0 0 -1.073217e+00 -2.030073e+00 -2.153867e+00 -1.546388e+00 
