%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=210508, 2015/04/23 19:16:28.09)
1 9 1.457018e+00 0 0 1.500956e+00 1.435683e+00 1.380538e+00 1.379088e+00 
2 17 1.445279e+00 0 0 1.448386e+00 1.408451e+00 1.408625e+00 1.306349e+00 
3 25 1.294385e+00 0 0 1.293130e+00 1.196822e+00 1.222560e+00 1.105441e+00 
4 33 1.347243e+00 0 0 1.570796e+00 1.209825e+00 1.202931e+00 1.296714e+00 
5 41 1.345702e+00 0 0 1.570796e+00 1.351125e+00 1.241788e+00 1.362957e+00 
6 49 1.408578e+00 0 0 1.570796e+00 1.379440e+00 1.406747e+00 1.472667e+00 
7 57 1.425027e+00 0 0 1.570796e+00 1.409858e+00 1.453959e+00 1.559350e+00 
8 65 1.343845e+00 0 0 1.464467e+00 1.260776e+00 1.332502e+00 1.431811e+00 
9 73 1.019281e+00 0 0 1.059462e+00 9.201841e-01 9.622028e-01 1.025833e+00 
10 81 9.315074e-01 0 0 9.433158e-01 7.947321e-01 8.709545e-01 8.942939e-01 
