%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=210508, 2015/04/23 19:16:28.09)
1 9 -6.513305870295617751e-12 0 0 -2.707745e+00 -2.156587e+00 -1.812943e+00 -2.680270e-01 
2 17 -4.121051863152176538e-12 0 0 -2.094834e+00 -2.258061e+00 -3.616567e+00 -8.526793e-01 
3 25 -1.699220516266973397e-11 0 0 -2.265261e+00 -1.939231e+00 -2.975485e+00 -7.963290e-01 
4 33 -1.000000000000000000e+04 0 0 -5.192093e+00 -3.550956e+00 -2.356017e+00 -3.634037e+00 
5 41 -1.000000000000000000e+04 0 0 -3.493721e+00 -6.635652e+00 -1.651687e+00 -3.254713e+00 
6 49 -1.000000000000000000e+04 0 0 -6.196533e+00 -5.263171e+00 3.848027e-01 -4.917152e+00 
7 57 -1.000000000000000000e+04 0 0 -4.027697e+00 -3.953910e+00 2.406804e+00 -5.235740e+00 
8 65 -1.000000000000000000e+04 0 0 -4.102446e+00 -5.037092e+00 3.444757e+00 -4.662301e+00 
9 73 -1.000000000000000000e+04 0 0 -7.007020e+00 -3.464597e+00 3.062925e+00 -4.129589e+00 
10 81 -1.000000000000000000e+04 0 0 -6.411071e+00 -4.048983e+00 1.344420e+00 -4.260455e+00 
