%  columns="iteration, evaluation, void, void, void, xmean" (startseed=210508, 2015/04/23 19:16:28.09)
0 1 0 0 0 0.000000e+00 -1.072667e+00 -1.230626e+00 -4.316277e-01 
1 9 0 0 0 -1.234199e+00 -2.110628e+00 -1.447528e+00 -6.941063e-01 
2 17 0 0 0 -1.490755e+00 -2.682808e+00 -2.616127e+00 -1.023669e+00 
3 25 0 0 0 -2.280252e+00 -2.283171e+00 -1.856865e+00 -9.289987e-01 
4 33 0 0 0 -3.851839e+00 -2.718929e+00 -2.117122e+00 -2.338197e+00 
5 41 0 0 0 -4.167481e+00 -4.009110e+00 -8.894065e-01 -3.122125e+00 
6 49 0 0 0 -3.933603e+00 -4.168815e+00 1.937939e-01 -3.897577e+00 
7 57 0 0 0 -4.807143e+00 -4.854805e+00 4.657078e-01 -4.809305e+00 
8 65 0 0 0 -5.466079e+00 -4.405549e+00 5.300157e-01 -4.903337e+00 
9 73 0 0 0 -4.851981e+00 -4.117821e+00 1.322809e-01 -4.427575e+00 
10 81 0 0 0 -4.997295e+00 -4.048266e+00 8.393308e-01 -4.215353e+00 
