%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=208744, 2015/04/23 19:23:3.44)
1 9 -1.000000000000000000e+04 0 0 7.199978e-01 -3.864575e+00 -3.467384e+00 -3.195298e+00 
2 17 -1.000000000000000000e+04 0 0 -1.755741e+00 -3.590099e+00 -3.965166e+00 -4.434965e+00 
3 25 -4.493468472056465840e-12 0 0 -1.812436e+00 -1.477996e+00 -4.601372e+00 -2.863176e+00 
4 33 -4.860989178486598390e-12 0 0 -1.502052e+00 -2.214587e+00 -2.751524e+00 -4.858117e+00 
5 41 -8.697511964673350100e-12 0 0 -6.188227e-01 -1.370674e+00 -2.170802e+00 -3.383026e+00 
6 49 -2.037594443742170890e-11 0 0 3.121358e-02 -6.614321e-01 -2.213407e+00 -1.713867e+00 
7 57 -2.662175646539217221e-11 0 0 -6.514150e-01 -1.584032e+00 -2.351548e+00 -2.213009e+00 
8 65 -1.268741332741076201e-11 0 0 -8.053762e-01 -1.762888e+00 -2.678380e+00 -2.771995e+00 
9 73 -3.407814091824043408e-11 0 0 -1.030065e+00 -1.375275e+00 -2.430342e+00 -2.065097e+00 
10 81 -4.153093809335478604e-11 0 0 -2.089948e+00 -1.603967e+00 -2.019031e+00 -9.805248e-01 
