%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=208744, 2015/04/23 19:23:3.44)
1 9 1.329215e+00 0 0 1.288859e+00 1.283071e+00 1.255885e+00 1.290901e+00 
2 17 1.135345e+00 0 0 1.066613e+00 1.054774e+00 1.039323e+00 1.091544e+00 
3 25 1.081104e+00 0 0 9.710285e-01 1.052389e+00 9.968881e-01 1.000450e+00 
4 33 9.415401e-01 0 0 8.159398e-01 8.734239e-01 8.454955e-01 8.352257e-01 
5 41 8.753533e-01 0 0 7.228404e-01 7.810718e-01 8.139293e-01 7.565586e-01 
6 49 9.820313e-01 0 0 8.104314e-01 9.226529e-01 8.887811e-01 8.921866e-01 
7 57 9.274882e-01 0 0 7.405945e-01 8.518918e-01 8.183324e-01 8.188651e-01 
8 65 7.585708e-01 0 0 5.841463e-01 6.606369e-01 6.477869e-01 6.448729e-01 
9 73 7.226847e-01 0 0 5.522752e-01 6.005638e-01 5.923673e-01 6.057958e-01 
10 81 8.840740e-01 0 0 7.378556e-01 7.281097e-01 7.412948e-01 7.863721e-01 
