%  columns="iteration, evaluation, void, void, void, xmean" (startseed=214735, 2015/04/14 20:43:51.36)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -1.153319e+00 -2.379465e+00 -1.219912e+00 -2.031028e+00 
2 17 0 0 0 1.085686e-01 -2.786226e+00 4.992021e-01 -7.980442e-01 
3 25 0 0 0 4.280474e-01 -2.571106e+00 1.260179e+00 -5.378887e-01 
4 33 0 0 0 1.414672e-02 -2.932384e+00 8.954582e-01 -4.489556e-01 
5 41 0 0 0 2.351303e-01 -4.042825e+00 8.976177e-01 5.472270e-01 
6 49 0 0 0 9.896649e-01 -3.717520e+00 1.709959e+00 2.698702e+00 
7 57 0 0 0 5.526513e-01 -4.030762e+00 1.277106e+00 1.871510e+00 
8 65 0 0 0 1.175047e+00 -3.787364e+00 9.307655e-01 1.425145e+00 
9 73 0 0 0 1.592156e+00 -3.629178e+00 1.087368e+00 9.296620e-01 
10 81 0 0 0 1.173892e+00 -3.711084e+00 1.017833e+00 1.014696e+00 
11 89 0 0 0 7.354453e-01 -3.366414e+00 1.185491e+00 7.046425e-01 
12 97 0 0 0 8.229036e-01 -3.098616e+00 1.260230e+00 3.353891e-01 
13 105 0 0 0 1.108756e+00 -3.100288e+00 1.052458e+00 4.657139e-01 
14 113 0 0 0 7.879256e-01 -3.100101e+00 8.359413e-01 5.350820e-01 
