%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=214735, 2015/04/14 20:43:51.36)
1 9 -2.966430924600453227e-11 0 0 -2.006192e+00 -1.813676e+00 -1.002662e+00 -1.592992e+00 
2 17 -1.000000000000000000e+04 0 0 9.047453e-01 -3.559110e+00 1.519809e+00 1.461274e-02 
3 25 -1.000000000000000000e+04 0 0 1.141498e+00 -3.067238e+00 2.544747e+00 4.165791e-01 
4 33 -1.000000000000000000e+04 0 0 7.549116e-01 -3.315952e+00 2.269410e+00 1.074188e+00 
5 41 -1.000000000000000000e+04 0 0 8.245929e-01 -5.461219e+00 1.551501e+00 1.626316e+00 
6 49 -1.000000000000000000e+04 0 0 7.785785e-01 -2.822814e+00 1.296632e+00 2.716823e+00 
7 57 -1.000000000000000000e+04 0 0 3.038638e-01 -3.509307e+00 1.130079e+00 1.909142e+00 
8 65 -1.000000000000000000e+04 0 0 1.148749e+00 -4.002681e+00 3.061070e-01 1.189589e+00 
9 73 -1.000000000000000000e+04 0 0 1.073327e+00 -4.840093e+00 1.033447e+00 1.879138e+00 
10 81 -1.000000000000000000e+04 0 0 7.762164e-01 -3.149615e+00 2.044159e+00 1.558133e+00 
11 89 -1.000000000000000000e+04 0 0 2.269539e+00 -3.654236e+00 1.928797e+00 1.463690e+00 
12 97 -1.000000000000000000e+04 0 0 1.296134e+00 -3.288920e+00 1.748434e+00 5.939391e-01 
13 105 -1.000000000000000000e+04 0 0 5.846004e-01 -1.971012e+00 1.356274e+00 1.079409e+00 
14 113 -1.000000000000000000e+04 0 0 8.670879e-01 -4.013641e+00 1.146250e+00 1.216708e+00 
