%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=214735, 2015/04/14 20:43:51.36)
1 9 1.409668e+00 0 0 1.404639e+00 1.371213e+00 1.337068e+00 1.380066e+00 
2 17 1.484646e+00 0 0 1.570796e+00 1.385631e+00 1.521865e+00 1.443900e+00 
3 25 1.468225e+00 0 0 1.538983e+00 1.298611e+00 1.570796e+00 1.386773e+00 
4 33 1.218908e+00 0 0 1.215291e+00 1.031883e+00 1.267557e+00 1.146838e+00 
5 41 1.283612e+00 0 0 1.219369e+00 1.215368e+00 1.267827e+00 1.273094e+00 
6 49 1.239466e+00 0 0 1.163912e+00 1.134567e+00 1.210004e+00 1.570796e+00 
7 57 1.079925e+00 0 0 9.586637e-01 9.510493e-01 9.992735e-01 1.324094e+00 
8 65 9.818502e-01 0 0 8.544220e-01 8.175719e-01 8.792999e-01 1.142111e+00 
9 73 9.343531e-01 0 0 8.117736e-01 7.434542e-01 7.999149e-01 1.052246e+00 
10 81 7.038590e-01 0 0 5.809458e-01 5.281801e-01 5.727858e-01 7.483121e-01 
11 89 6.748847e-01 0 0 5.643810e-01 5.049016e-01 5.265873e-01 6.939270e-01 
12 97 6.494769e-01 0 0 5.321283e-01 4.919238e-01 4.863038e-01 6.660255e-01 
13 105 5.667557e-01 0 0 4.495202e-01 4.192272e-01 4.050373e-01 5.518222e-01 
14 113 5.055331e-01 0 0 3.922204e-01 3.572282e-01 3.564115e-01 4.629700e-01 
