%  columns="iteration, evaluation, void, void, void, xmean" (startseed=215138, 2015/04/14 21:44:53.39)
0 1 0 0 0 -2.094395e+00 -2.356194e+00 -7.853982e-01 -1.047198e+00 
1 9 0 0 0 -3.065345e+00 -1.640227e+00 -1.949895e+00 -3.136612e+00 
2 17 0 0 0 -3.736513e+00 -9.179325e-01 -4.986202e+00 -3.024741e+00 
3 25 0 0 0 -3.344067e+00 -8.805042e-01 -3.805003e+00 -3.809780e+00 
4 33 0 0 0 -2.972734e+00 -1.970110e+00 -3.189205e+00 -3.505167e+00 
5 41 0 0 0 -1.663531e+00 -1.872846e+00 -2.926757e+00 -3.220326e+00 
6 49 0 0 0 -1.930514e+00 -3.136165e+00 -3.576364e+00 -3.254075e+00 
7 57 0 0 0 -1.429776e+00 -2.950806e+00 -3.825721e+00 -3.482018e+00 
8 65 0 0 0 -2.747206e+00 -2.785864e+00 -3.567585e+00 -2.900739e+00 
9 73 0 0 0 -3.041821e+00 -1.896652e+00 -2.773488e+00 -3.064108e+00 
10 81 0 0 0 -3.462203e+00 -1.971066e+00 -3.332870e+00 -3.220029e+00 
11 89 0 0 0 -4.358442e+00 -1.251597e+00 -3.526690e+00 -3.818740e+00 
12 97 0 0 0 -4.753860e+00 -6.190510e-01 -4.036724e+00 -4.687372e+00 
13 105 0 0 0 -3.691527e+00 -7.589715e-01 -4.323278e+00 -4.428732e+00 
14 113 0 0 0 -3.502270e+00 -4.874115e-01 -4.309237e+00 -4.542127e+00 
15 121 0 0 0 -3.697109e+00 -5.906209e-01 -3.855116e+00 -4.009600e+00 
16 129 0 0 0 -3.821222e+00 -6.619340e-01 -4.108310e+00 -4.128084e+00 
17 137 0 0 0 -3.767333e+00 -1.322864e+00 -3.582694e+00 -3.587291e+00 
18 145 0 0 0 -3.622916e+00 -9.118258e-01 -3.692546e+00 -3.710328e+00 
19 153 0 0 0 -3.773814e+00 -4.979627e-01 -3.832345e+00 -3.282501e+00 
