%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=215138, 2015/04/14 21:44:53.39)
1 9 -1.954674215249627317e-12 0 0 -3.475905e+00 -6.675810e-01 -1.543673e+00 -4.033502e+00 
2 17 -1.000000000000000000e+04 0 0 -3.483121e+00 -4.612831e-01 -6.361574e+00 -3.253429e+00 
3 25 -1.000000000000000000e+04 0 0 -3.232451e+00 -1.310938e-01 -4.516832e+00 -3.593209e+00 
4 33 -1.000000000000000000e+04 0 0 -4.533100e+00 -4.056422e+00 -6.475623e+00 -3.669614e+00 
5 41 -4.486004371955099870e-12 0 0 -1.686784e+00 -2.209502e+00 -2.746444e+00 -3.563198e+00 
6 49 -1.000000000000000000e+04 0 0 -3.588660e+00 -3.302890e+00 -4.502906e+00 -2.988310e+00 
7 57 -1.000000000000000000e+04 0 0 -1.736308e+00 -3.954161e+00 -4.264577e+00 -3.658554e+00 
8 65 -1.000000000000000000e+04 0 0 -3.532706e+00 -3.158544e+00 -3.604945e+00 -3.236213e+00 
9 73 -6.882326318298345162e-13 0 0 -2.710083e+00 -1.682393e+00 -2.581186e+00 -2.814036e+00 
10 81 -1.000000000000000000e+04 0 0 -4.601221e+00 -1.209421e+00 -4.104649e+00 -3.916539e+00 
11 89 -1.000000000000000000e+04 0 0 -4.339637e+00 -1.262473e+00 -3.464427e+00 -3.300833e+00 
12 97 -1.000000000000000000e+04 0 0 -5.124309e+00 9.707968e-01 -3.529547e+00 -4.989560e+00 
13 105 -1.000000000000000000e+04 0 0 -3.171001e+00 -1.710195e+00 -5.328064e+00 -4.372803e+00 
14 113 -1.000000000000000000e+04 0 0 -6.126196e+00 1.163769e-01 -6.763653e+00 -5.008402e+00 
15 121 -1.000000000000000000e+04 0 0 -3.238816e+00 -1.704061e+00 -5.399524e+00 -4.090093e+00 
16 129 -1.000000000000000000e+04 0 0 -3.847960e+00 -1.128572e-01 -4.840729e+00 -4.686968e+00 
17 137 -1.000000000000000000e+04 0 0 -3.850341e+00 -1.447138e+00 -3.933157e+00 -3.510342e+00 
18 145 -1.000000000000000000e+04 0 0 -3.369803e+00 -1.829561e+00 -4.267180e+00 -3.833055e+00 
19 153 -1.000000000000000000e+04 0 0 -3.992962e+00 -8.786551e-01 -3.537647e+00 -3.367283e+00 
