%  columns="iteration, evaluation, void, void, void, xmean" (startseed=209517, 2015/04/23 19:6:28.24)
0 1 0 0 0 -1.776866e+00 -3.141593e+00 -3.141593e+00 0.000000e+00 
1 9 0 0 0 -7.582921e-01 -2.236843e+00 -1.993650e+00 -1.256873e+00 
2 17 0 0 0 6.594436e-01 -8.048334e-01 -3.263375e+00 4.799302e-01 
3 25 0 0 0 -6.410404e-01 -2.432489e+00 -2.719122e+00 -1.421893e+00 
4 33 0 0 0 -1.356343e+00 -2.202151e+00 -1.793922e+00 -1.573365e+00 
5 41 0 0 0 -1.226457e+00 -1.944189e+00 -1.376337e+00 -1.527604e+00 
6 49 0 0 0 -1.249127e+00 -2.330916e+00 -2.713600e+00 -6.643939e-01 
7 57 0 0 0 -1.958898e+00 -2.502834e+00 -2.339061e+00 -1.073099e+00 
8 65 0 0 0 -1.911909e+00 -2.320545e+00 -1.614052e+00 -1.296462e+00 
9 73 0 0 0 -1.796796e+00 -1.460273e+00 -1.300235e+00 -1.055336e+00 
10 81 0 0 0 -1.864230e+00 -8.592340e-01 -1.216366e+00 -1.034053e+00 
