%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=209517, 2015/04/23 19:6:28.24)
1 9 1.565804e+00 0 0 1.534080e+00 1.527309e+00 1.550993e+00 1.570796e+00 
2 17 1.465123e+00 0 0 1.570796e+00 1.538143e+00 1.425033e+00 1.504022e+00 
3 25 1.288652e+00 0 0 1.347077e+00 1.351897e+00 1.194170e+00 1.372602e+00 
4 33 1.189980e+00 0 0 1.222281e+00 1.201285e+00 1.111942e+00 1.245412e+00 
5 41 1.060815e+00 0 0 1.068639e+00 1.019144e+00 9.821470e-01 1.057171e+00 
6 49 1.005161e+00 0 0 9.541754e-01 9.275332e-01 9.967708e-01 9.926059e-01 
7 57 8.927344e-01 0 0 8.522233e-01 7.903527e-01 8.520651e-01 8.507358e-01 
8 65 7.900737e-01 0 0 7.162484e-01 6.605154e-01 7.576014e-01 7.190503e-01 
9 73 8.452364e-01 0 0 7.258015e-01 7.850994e-01 8.068376e-01 7.476742e-01 
10 81 8.946534e-01 0 0 7.272072e-01 9.013747e-01 8.238880e-01 7.465390e-01 
