%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=209517, 2015/04/23 19:6:28.24)
1 9 1.565804e+00 1.179328e+00 -2.865158136220339815e-11 -2.865158136220339815e-11 -2.038287639570942025e-12 -1.047665640951208651e-13
2 17 1.465123e+00 1.417693e+00 -1.000000000000000000e+04 -1.000000000000000000e+04 -2.644891857918704926e-12 -4.475706903137349118e-14
3 25 1.288652e+00 1.541254e+00 -1.000000000000000000e+04 -6.889274182134681759e-12 -4.493253861653787440e-13 -5.398239664227021028e-16
4 33 1.189980e+00 1.609222e+00 -1.000000000000000000e+04 -2.547162400363321712e-11 -6.001881452383408952e-13 -2.832661833938781739e-16
5 41 1.060815e+00 1.600528e+00 -1.000000000000000000e+04 -1.664008783825000038e-11 -4.836820962635864550e-12 -3.213179687488899799e-14
6 49 1.005161e+00 1.621055e+00 -1.000000000000000000e+04 -1.251670202688139578e-11 -2.292935278733783244e-12 -2.101709973130831343e-13
7 57 8.927344e-01 1.685863e+00 -1.000000000000000000e+04 -8.016787110317685662e-12 -1.408490623237017345e-12 -3.610763852917130735e-15
8 65 7.900737e-01 1.723739e+00 -1.000000000000000000e+04 -3.128056814990256153e-11 -1.600092079377041849e-12 -9.655316150449481485e-16
9 73 8.452364e-01 1.747083e+00 -1.000000000000000000e+04 -2.960239469879564697e-11 -1.058840401324574199e-11 -1.765613725654727910e-12
10 81 8.946534e-01 1.739988e+00 -1.000000000000000000e+04 -1.599949815708855574e-11 -6.765061955049999606e-12 -1.783069210314295233e-13
