%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=209517, 2015/04/23 19:6:28.24)
1 9 -2.865158136220339815e-11 0 0 -7.143406e-01 -1.643326e+00 -2.071001e+00 -6.620338e-01 
2 17 -1.000000000000000000e+04 0 0 2.149879e+00 4.029582e-01 -4.185393e+00 1.739478e+00 
3 25 -6.889274182134681759e-12 0 0 -1.591121e+00 -1.717195e+00 -2.305265e+00 -1.801944e+00 
4 33 -2.547162400363321712e-11 0 0 -1.422796e+00 -2.493201e+00 -1.864323e+00 -4.308833e-01 
5 41 -1.664008783825000038e-11 0 0 -2.603926e-02 -2.454128e+00 -1.124398e+00 -1.733552e+00 
6 49 -1.251670202688139578e-11 0 0 -1.376575e+00 -1.818138e+00 -3.595967e+00 -6.171409e-01 
7 57 -8.016787110317685662e-12 0 0 -1.748540e+00 -1.959111e+00 -2.984777e+00 -6.672981e-01 
8 65 -3.128056814990256153e-11 0 0 -2.054452e+00 -2.136586e+00 -1.436696e+00 -9.879755e-01 
9 73 -2.960239469879564697e-11 0 0 -2.000944e+00 -9.654271e-01 -1.458744e+00 -5.080144e-01 
10 81 -1.599949815708855574e-11 0 0 -1.846450e+00 -4.435821e-01 -1.445435e+00 -9.177512e-01 
