%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=212147, 2015/04/23 20:20:39.48)
1 9 1.370740e+00 0 0 1.308471e+00 1.343397e+00 1.325150e+00 1.308192e+00 
2 17 1.124376e+00 0 0 1.015003e+00 1.049515e+00 1.039957e+00 1.011615e+00 
3 25 1.019489e+00 0 0 8.796775e-01 9.513768e-01 9.201305e-01 8.746930e-01 
4 33 9.098409e-01 0 0 7.510214e-01 8.188075e-01 8.146448e-01 7.379952e-01 
5 41 7.906524e-01 0 0 6.214826e-01 6.845715e-01 6.903171e-01 6.265978e-01 
6 49 7.662750e-01 0 0 5.710970e-01 6.817581e-01 6.849061e-01 5.910120e-01 
7 57 8.645523e-01 0 0 6.718130e-01 7.466517e-01 8.556528e-01 6.653067e-01 
8 65 8.466989e-01 0 0 6.856258e-01 7.049735e-01 8.129931e-01 6.358872e-01 
9 73 8.328047e-01 0 0 6.990975e-01 6.731177e-01 7.813355e-01 5.923772e-01 
10 81 7.151062e-01 0 0 5.774101e-01 5.467466e-01 6.537518e-01 5.040009e-01 
